TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999321e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01543878e-01,0.00000000e+00,7.00000000e-03,7.00000000e-03
2.00000000e-13,7.03733761e-01,0.00000000e+00,1.40000000e-02,1.40000000e-02
3.00000000e-13,7.06030965e-01,0.00000000e+00,2.10000000e-02,2.10000000e-02
4.00000000e-13,7.08334298e-01,0.00000000e+00,2.80000000e-02,2.80000000e-02
5.00000000e-13,7.10637630e-01,0.00000000e+00,3.50000000e-02,3.50000000e-02
6.00000000e-13,7.12581575e-01,0.00000000e+00,4.20000000e-02,4.20000000e-02
7.00000000e-13,7.14481101e-01,0.00000000e+00,4.90000000e-02,4.90000000e-02
8.00000000e-13,7.16230080e-01,0.00000000e+00,5.60000000e-02,5.60000000e-02
9.00000000e-13,7.17673402e-01,0.00000000e+00,6.30000000e-02,6.30000000e-02
1.00000000e-12,7.19116724e-01,0.00000000e+00,7.00000000e-02,7.00000000e-02
1.10000000e-12,7.20225699e-01,0.00000000e+00,7.70000000e-02,7.70000000e-02
1.20000000e-12,7.21234804e-01,0.00000000e+00,8.40000000e-02,8.40000000e-02
1.30000000e-12,7.22243908e-01,0.00000000e+00,9.10000000e-02,9.10000000e-02
1.40000000e-12,7.23253013e-01,0.00000000e+00,9.80000000e-02,9.80000000e-02
1.50000000e-12,7.24262117e-01,0.00000000e+00,1.05000000e-01,1.05000000e-01
1.60000000e-12,7.25012798e-01,0.00000000e+00,1.12000000e-01,1.12000000e-01
1.70000000e-12,7.25624327e-01,0.00000000e+00,1.19000000e-01,1.19000000e-01
1.80000000e-12,7.26235856e-01,0.00000000e+00,1.26000000e-01,1.26000000e-01
1.90000000e-12,7.26847385e-01,0.00000000e+00,1.33000000e-01,1.33000000e-01
2.00000000e-12,7.27458914e-01,0.00000000e+00,1.40000000e-01,1.40000000e-01
2.10000000e-12,7.28070442e-01,0.00000000e+00,1.47000000e-01,1.47000000e-01
2.20000000e-12,7.28681971e-01,0.00000000e+00,1.54000000e-01,1.54000000e-01
2.30000000e-12,7.29293500e-01,0.00000000e+00,1.61000000e-01,1.61000000e-01
2.40000000e-12,7.29905029e-01,0.00000000e+00,1.68000000e-01,1.68000000e-01
2.50000000e-12,7.30516558e-01,0.00000000e+00,1.75000000e-01,1.75000000e-01
2.60000000e-12,7.31074504e-01,0.00000000e+00,1.82000000e-01,1.82000000e-01
2.70000000e-12,7.31555343e-01,0.00000000e+00,1.89000000e-01,1.89000000e-01
2.80000000e-12,7.32036182e-01,0.00000000e+00,1.96000000e-01,1.96000000e-01
2.90000000e-12,7.32517021e-01,0.00000000e+00,2.03000000e-01,2.03000000e-01
3.00000000e-12,7.32997860e-01,0.00000000e+00,2.10000000e-01,2.10000000e-01
3.10000000e-12,7.33478699e-01,0.00000000e+00,2.17000000e-01,2.17000000e-01
3.20000000e-12,7.33959538e-01,0.00000000e+00,2.24000000e-01,2.24000000e-01
3.30000000e-12,7.34440377e-01,0.00000000e+00,2.31000000e-01,2.31000000e-01
3.40000000e-12,7.34921216e-01,0.00000000e+00,2.38000000e-01,2.38000000e-01
3.50000000e-12,7.35402055e-01,0.00000000e+00,2.45000000e-01,2.45000000e-01
3.60000000e-12,7.35891097e-01,0.00000000e+00,2.52000000e-01,2.52000000e-01
3.70249162e-12,7.36433372e-01,0.00000000e+00,2.59174413e-01,2.59174413e-01
3.80000000e-12,7.36969886e-01,0.00000000e+00,2.66000000e-01,2.66000000e-01
3.90000000e-12,7.37520110e-01,0.00000000e+00,2.73000000e-01,2.73000000e-01
4.00000000e-12,7.38097166e-01,0.00000000e+00,2.80000000e-01,2.80000000e-01
4.10000000e-12,7.38693238e-01,0.00000000e+00,2.87000000e-01,2.87000000e-01
4.20000000e-12,7.39300753e-01,0.00000000e+00,2.94000000e-01,2.94000000e-01
4.30000000e-12,7.39955387e-01,0.00000000e+00,3.01000000e-01,3.01000000e-01
4.40000000e-12,7.40610020e-01,0.00000000e+00,3.08000000e-01,3.08000000e-01
4.50000000e-12,7.41319866e-01,0.00000000e+00,3.15000000e-01,3.15000000e-01
4.60000000e-12,7.42043036e-01,0.00000000e+00,3.22000000e-01,3.22000000e-01
4.70000000e-12,7.42798931e-01,0.00000000e+00,3.29000000e-01,3.29000000e-01
4.80000000e-12,7.43600815e-01,0.00000000e+00,3.36000000e-01,3.36000000e-01
4.89740780e-12,7.44381913e-01,0.00000000e+00,3.42818546e-01,3.42818546e-01
5.00000000e-12,7.45296439e-01,0.00000000e+00,3.50000000e-01,3.50000000e-01
5.10000000e-12,7.46187858e-01,0.00000000e+00,3.57000000e-01,3.57000000e-01
5.20000000e-12,7.47143372e-01,0.00000000e+00,3.64000000e-01,3.64000000e-01
5.30000000e-12,7.48135556e-01,0.00000000e+00,3.71000000e-01,3.71000000e-01
5.40000000e-12,7.49155100e-01,0.00000000e+00,3.78000000e-01,3.78000000e-01
5.50000000e-12,7.50258390e-01,0.00000000e+00,3.85000000e-01,3.85000000e-01
5.60000000e-12,7.51361679e-01,0.00000000e+00,3.92000000e-01,3.92000000e-01
5.70000000e-12,7.52559822e-01,0.00000000e+00,3.99000000e-01,3.99000000e-01
5.80000000e-12,7.53773867e-01,0.00000000e+00,4.06000000e-01,4.06000000e-01
5.90000000e-12,7.54974979e-01,0.00000000e+00,4.13000000e-01,4.13000000e-01
6.00000000e-12,7.56161307e-01,0.00000000e+00,4.20000000e-01,4.20000000e-01
6.10000000e-12,7.57282348e-01,0.00000000e+00,4.27000000e-01,4.27000000e-01
6.20000000e-12,7.57618149e-01,0.00000000e+00,4.34000000e-01,4.34000000e-01
6.30000000e-12,7.57953951e-01,0.00000000e+00,4.41000000e-01,4.41000000e-01
6.40000000e-12,7.57120288e-01,0.00000000e+00,4.48000000e-01,4.48000000e-01
6.50000000e-12,7.55753634e-01,0.00000000e+00,4.55000000e-01,4.55000000e-01
6.60000000e-12,7.53540265e-01,0.00000000e+00,4.62000000e-01,4.62000000e-01
6.70000000e-12,7.50743539e-01,0.00000000e+00,4.69000000e-01,4.69000000e-01
6.80000000e-12,7.47470754e-01,0.00000000e+00,4.76000000e-01,4.76000000e-01
6.90000000e-12,7.43716604e-01,0.00000000e+00,4.83000000e-01,4.83000000e-01
