TIME,V(OUT),V(IN)
0.00000000e+00,7.00000841e-01,0.00000000e+00
1.00000000e-15,7.00000840e-01,0.00000000e+00
3.00000000e-15,7.00000838e-01,0.00000000e+00
7.00000000e-15,7.00000835e-01,0.00000000e+00
1.50000000e-14,7.00000829e-01,0.00000000e+00
3.10000000e-14,7.00000818e-01,0.00000000e+00
6.30000000e-14,7.00000794e-01,0.00000000e+00
1.27000000e-13,7.00000748e-01,0.00000000e+00
2.55000000e-13,7.00000661e-01,0.00000000e+00
5.11000000e-13,7.00000504e-01,0.00000000e+00
1.02300000e-12,7.00000247e-01,0.00000000e+00
2.04700000e-12,6.99999899e-01,0.00000000e+00
4.09500000e-12,6.99999576e-01,0.00000000e+00
8.19100000e-12,6.99999438e-01,0.00000000e+00
1.63830000e-11,6.99999448e-01,0.00000000e+00
2.63830000e-11,6.99999444e-01,0.00000000e+00
3.63830000e-11,6.99999446e-01,0.00000000e+00
4.63830000e-11,6.99999445e-01,0.00000000e+00
5.63830000e-11,6.99999445e-01,0.00000000e+00
6.63830000e-11,6.99999445e-01,0.00000000e+00
7.63830000e-11,6.99999445e-01,0.00000000e+00
8.63830000e-11,6.99999445e-01,0.00000000e+00
9.63830000e-11,6.99999445e-01,0.00000000e+00
1.00000000e-10,6.99999445e-01,0.00000000e+00
1.00062500e-10,7.04679941e-01,4.37500000e-03
1.00125000e-10,7.09194644e-01,8.75000000e-03
1.00250000e-10,7.17905468e-01,1.75000000e-02
1.00500000e-10,7.33929811e-01,3.50000000e-02
1.00750000e-10,7.48683873e-01,5.25000000e-02
1.01250000e-10,7.76697922e-01,8.75000000e-02
1.01750000e-10,8.04370567e-01,1.22500000e-01
1.02750000e-10,8.61443628e-01,1.92500000e-01
1.03750000e-10,9.21045209e-01,2.62500000e-01
1.04750000e-10,9.82500445e-01,3.32500000e-01
1.06750000e-10,1.10880284e+00,4.72500000e-01
1.07572137e-10,1.16180389e+00,5.30049614e-01
1.08394275e-10,1.21452181e+00,5.87599229e-01
1.08998813e-10,1.25037122e+00,6.29916939e-01
1.09295680e-10,1.26630071e+00,6.50697598e-01
1.09592547e-10,1.28076211e+00,6.71478258e-01
1.10000000e-10,1.29237029e+00,7.00000000e-01
1.10059373e-10,1.28853096e+00,7.00000000e-01
1.10109090e-10,1.28531403e+00,7.00000000e-01
1.10208522e-10,1.27886812e+00,7.00000000e-01
1.10407388e-10,1.26598145e+00,7.00000000e-01
1.10805119e-10,1.24028063e+00,7.00000000e-01
1.11600581e-10,1.18942241e+00,7.00000000e-01
1.13191505e-10,1.09034677e+00,7.00000000e-01
1.14782430e-10,9.94744467e-01,7.00000000e-01
1.16373354e-10,9.02441891e-01,7.00000000e-01
1.17964278e-10,8.13286652e-01,7.00000000e-01
1.19555202e-10,7.27141562e-01,7.00000000e-01
1.21146127e-10,6.43884726e-01,7.00000000e-01
1.22737051e-10,5.63410505e-01,7.00000000e-01
1.24327975e-10,4.85631748e-01,7.00000000e-01
1.25918899e-10,4.10484440e-01,7.00000000e-01
1.27509824e-10,3.37937536e-01,7.00000000e-01
1.29100748e-10,2.68016187e-01,7.00000000e-01
1.30691672e-10,2.00868738e-01,7.00000000e-01
1.32282597e-10,1.37036591e-01,7.00000000e-01
1.33873521e-10,7.89227381e-02,7.00000000e-01
1.35464445e-10,3.45130836e-02,7.00000000e-01
1.36849474e-10,1.28207755e-02,7.00000000e-01
1.38050957e-10,4.72289474e-03,7.00000000e-01
1.39252441e-10,1.62871895e-03,7.00000000e-01
1.41655408e-10,7.31369312e-06,7.00000000e-01
1.43818078e-10,3.99366111e-07,7.00000000e-01
1.48143418e-10,-6.97906295e-08,7.00000000e-01
1.52468758e-10,6.53844419e-08,7.00000000e-01
1.61119439e-10,1.80051455e-08,7.00000000e-01
1.78420800e-10,4.81302301e-08,7.00000000e-01
2.08420800e-10,2.40827131e-08,7.00000000e-01
2.10000000e-10,3.28872041e-08,7.00000000e-01
2.10062500e-10,-4.51643292e-03,6.95625000e-01
2.10125000e-10,-8.80948240e-03,6.91250000e-01
2.10250000e-10,-1.69996226e-02,6.82500000e-01
2.10500000e-10,-3.17335998e-02,6.65000000e-01
2.10750000e-10,-4.51747705e-02,6.47500000e-01
2.11250000e-10,-7.12127853e-02,6.12500000e-01
2.11750000e-10,-9.77739739e-02,5.77500000e-01
2.12250000e-10,-1.25467572e-01,5.42500000e-01
2.12750000e-10,-1.54210525e-01,5.07500000e-01
2.13750000e-10,-2.13971083e-01,4.37500000e-01
2.15750000e-10,-3.39075886e-01,2.97500000e-01
2.17750000e-10,-4.68231002e-01,1.57500000e-01
2.18536099e-10,-5.18246609e-01,1.02473055e-01
2.19322198e-10,-5.65713866e-01,4.74461099e-02
2.19424792e-10,-5.71123807e-01,4.02645672e-02
2.19629979e-10,-5.81223364e-01,2.59014816e-02
2.19835166e-10,-5.89389186e-01,1.15383960e-02
2.20000000e-10,-5.94134337e-01,5.55111512e-16
2.20020519e-10,-5.92866553e-01,0.00000000e+00
2.20041037e-10,-5.91600199e-01,0.00000000e+00
2.20082075e-10,-5.89069484e-01,0.00000000e+00
2.20164150e-10,-5.84024108e-01,0.00000000e+00
2.20328299e-10,-5.73991771e-01,0.00000000e+00
2.20656598e-10,-5.54129960e-01,0.00000000e+00
2.21313196e-10,-5.15097486e-01,0.00000000e+00
2.22626393e-10,-4.39449306e-01,0.00000000e+00
2.23939589e-10,-3.66765019e-01,0.00000000e+00
2.25252786e-10,-2.96831674e-01,0.00000000e+00
2.26565982e-10,-2.29483518e-01,0.00000000e+00
2.27879178e-10,-1.64570260e-01,0.00000000e+00
2.29192375e-10,-1.01954091e-01,0.00000000e+00
2.30505571e-10,-4.15084647e-02,0.00000000e+00
2.31818768e-10,1.68828599e-02,0.00000000e+00
2.33131964e-10,7.33265990e-02,0.00000000e+00
2.34445160e-10,1.27920545e-01,0.00000000e+00
2.35758357e-10,1.80753959e-01,0.00000000e+00
