TIME,V(OUT),V(IN)
0.00000000e+00,8.99999525e-01,0.00000000e+00
1.00000000e-15,8.99999525e-01,0.00000000e+00
3.00000000e-15,8.99999525e-01,0.00000000e+00
7.00000000e-15,8.99999525e-01,0.00000000e+00
1.50000000e-14,8.99999525e-01,0.00000000e+00
3.10000000e-14,8.99999525e-01,0.00000000e+00
6.30000000e-14,8.99999525e-01,0.00000000e+00
1.27000000e-13,8.99999525e-01,0.00000000e+00
2.55000000e-13,8.99999525e-01,0.00000000e+00
5.11000000e-13,8.99999525e-01,0.00000000e+00
1.02300000e-12,8.99999525e-01,0.00000000e+00
2.04700000e-12,8.99999525e-01,0.00000000e+00
4.09500000e-12,8.99999525e-01,0.00000000e+00
8.19100000e-12,8.99999525e-01,0.00000000e+00
1.63830000e-11,8.99999525e-01,0.00000000e+00
2.63830000e-11,8.99999525e-01,0.00000000e+00
3.63830000e-11,8.99999525e-01,0.00000000e+00
4.63830000e-11,8.99999525e-01,0.00000000e+00
5.63830000e-11,8.99999525e-01,0.00000000e+00
6.63830000e-11,8.99999525e-01,0.00000000e+00
7.63830000e-11,8.99999525e-01,0.00000000e+00
8.63830000e-11,8.99999525e-01,0.00000000e+00
9.63830000e-11,8.99999525e-01,0.00000000e+00
1.00000000e-10,8.99999525e-01,0.00000000e+00
1.00062500e-10,9.02891230e-01,5.62500000e-03
1.00125000e-10,9.05555746e-01,1.12500000e-02
1.00250000e-10,9.10470310e-01,2.25000000e-02
1.00500000e-10,9.18385930e-01,4.50000000e-02
1.00750000e-10,9.24463385e-01,6.75000000e-02
1.01250000e-10,9.33751983e-01,1.12500000e-01
1.01750000e-10,9.41345803e-01,1.57500000e-01
1.02750000e-10,9.58009144e-01,2.47500000e-01
1.03750000e-10,9.79944857e-01,3.37500000e-01
1.04750000e-10,1.00359913e+00,4.27500000e-01
1.05291758e-10,1.00900404e+00,4.76258197e-01
1.05581278e-10,1.00868095e+00,5.02315019e-01
1.05870798e-10,1.00634787e+00,5.28371841e-01
1.06449839e-10,9.87645346e-01,5.80485485e-01
1.06963321e-10,9.53444332e-01,6.26698933e-01
1.07425456e-10,9.07361316e-01,6.68291037e-01
1.07887590e-10,8.46018245e-01,7.09883140e-01
1.08349725e-10,7.68829471e-01,7.51475244e-01
1.08811859e-10,6.77102215e-01,7.93067347e-01
1.09273994e-10,5.74062492e-01,8.34659451e-01
1.09736128e-10,4.61933536e-01,8.76251555e-01
1.10000000e-10,3.94343932e-01,9.00000000e-01
1.10022540e-10,3.87593424e-01,9.00000000e-01
1.10041913e-10,3.81828727e-01,9.00000000e-01
1.10080659e-10,3.70354219e-01,9.00000000e-01
