TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999927e-01,0.00000000e+00,0.00000000e+00
1.00000000e-15,7.00035591e-01,0.00000000e+00,7.00000000e-05
3.00000000e-15,7.00106367e-01,0.00000000e+00,2.10000000e-04
7.00000000e-15,7.00246817e-01,0.00000000e+00,4.90000000e-04
1.50000000e-14,7.00521220e-01,0.00000000e+00,1.05000000e-03
3.10000000e-14,7.01045050e-01,0.00000000e+00,2.17000000e-03
6.30000000e-14,7.02000289e-01,0.00000000e+00,4.41000000e-03
1.27000000e-13,7.03593345e-01,0.00000000e+00,8.89000000e-03
2.55000000e-13,7.05832095e-01,0.00000000e+00,1.78500000e-02
5.11000000e-13,7.08116444e-01,0.00000000e+00,3.57700000e-02
1.02300000e-12,7.09424803e-01,0.00000000e+00,7.16100000e-02
1.53500000e-12,7.09651072e-01,0.00000000e+00,1.07450000e-01
2.55900000e-12,7.10151020e-01,0.00000000e+00,1.79130000e-01
3.58300000e-12,7.10723403e-01,0.00000000e+00,2.50810000e-01
3.70594591e-12,7.10800493e-01,0.00000000e+00,2.59416213e-01
3.95183772e-12,7.10931297e-01,0.00000000e+00,2.76628640e-01
4.44362135e-12,7.11198309e-01,0.00000000e+00,3.11053494e-01
4.87306905e-12,7.11390905e-01,0.00000000e+00,3.41114834e-01
5.23027687e-12,7.11480786e-01,0.00000000e+00,3.66119381e-01
5.55176392e-12,7.11461936e-01,0.00000000e+00,3.88623474e-01
5.87325096e-12,7.11290276e-01,0.00000000e+00,4.11127567e-01
6.19473800e-12,7.10897621e-01,0.00000000e+00,4.33631660e-01
6.48407634e-12,7.10320876e-01,0.00000000e+00,4.53885344e-01
6.77341468e-12,7.09576607e-01,0.00000000e+00,4.74139027e-01
7.06275301e-12,7.08793182e-01,0.00000000e+00,4.94392711e-01
7.64142969e-12,7.07568664e-01,0.00000000e+00,5.34900078e-01
8.22010636e-12,7.07046529e-01,0.00000000e+00,5.75407445e-01
9.37745971e-12,7.06805970e-01,0.00000000e+00,6.56422180e-01
1.00000000e-11,7.06826336e-01,0.00000000e+00,7.00000000e-01
1.00769424e-11,7.05732230e-01,0.00000000e+00,7.00000000e-01
1.01430866e-11,7.04924422e-01,0.00000000e+00,7.00000000e-01
1.02092308e-11,7.04177834e-01,0.00000000e+00,7.00000000e-01
1.03415192e-11,7.03000610e-01,0.00000000e+00,7.00000000e-01
1.04738076e-11,7.02155379e-01,0.00000000e+00,7.00000000e-01
1.07383844e-11,7.01091182e-01,0.00000000e+00,7.00000000e-01
1.10029612e-11,7.00552489e-01,0.00000000e+00,7.00000000e-01
1.15321148e-11,7.00114846e-01,0.00000000e+00,7.00000000e-01
1.20612685e-11,7.00023651e-01,0.00000000e+00,7.00000000e-01
1.31195757e-11,6.99996406e-01,0.00000000e+00,7.00000000e-01
1.41778829e-11,7.00000060e-01,0.00000000e+00,7.00000000e-01
1.62944974e-11,6.99999435e-01,0.00000000e+00,7.00000000e-01
2.05277263e-11,6.99999760e-01,0.00000000e+00,7.00000000e-01
2.89941842e-11,6.99999520e-01,0.00000000e+00,7.00000000e-01
3.89941842e-11,6.99999720e-01,0.00000000e+00,7.00000000e-01
4.89941842e-11,6.99999550e-01,0.00000000e+00,7.00000000e-01
5.89941842e-11,6.99999695e-01,0.00000000e+00,7.00000000e-01
6.89941842e-11,6.99999571e-01,0.00000000e+00,7.00000000e-01
7.89941842e-11,6.99999676e-01,0.00000000e+00,7.00000000e-01
8.89941842e-11,6.99999587e-01,0.00000000e+00,7.00000000e-01
9.89941842e-11,6.99999663e-01,0.00000000e+00,7.00000000e-01
1.00000000e-10,6.99999624e-01,0.00000000e+00,7.00000000e-01
1.00062500e-10,7.03384211e-01,4.37500000e-03,7.00000000e-01
