TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999742e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.02896286e-01,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.04784936e-01,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.06081978e-01,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.06907112e-01,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.07732247e-01,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.08015530e-01,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.08231844e-01,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.08448157e-01,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.08664470e-01,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.08880783e-01,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.08954464e-01,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.08985541e-01,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.09016618e-01,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.09047695e-01,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.09078772e-01,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.09114277e-01,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.09152166e-01,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.09190055e-01,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.09227945e-01,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.09265834e-01,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.09306922e-01,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.09350847e-01,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.09394772e-01,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.09438697e-01,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.09482622e-01,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.09526547e-01,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.09570472e-01,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.09614397e-01,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.09658322e-01,0.00000000e+00,2.03000000e-01
3.00000000e-12,7.09702247e-01,0.00000000e+00,2.10000000e-01
3.10000000e-12,7.09747737e-01,0.00000000e+00,2.17000000e-01
3.20000000e-12,7.09796166e-01,0.00000000e+00,2.24000000e-01
3.30000000e-12,7.09841349e-01,0.00000000e+00,2.31000000e-01
3.40000000e-12,7.09886722e-01,0.00000000e+00,2.38000000e-01
3.50000000e-12,7.09934769e-01,0.00000000e+00,2.45000000e-01
3.60000000e-12,7.09982816e-01,0.00000000e+00,2.52000000e-01
3.70000000e-12,7.10032508e-01,0.00000000e+00,2.59000000e-01
3.80000000e-12,7.10082347e-01,0.00000000e+00,2.66000000e-01
3.90000000e-12,7.10133050e-01,0.00000000e+00,2.73000000e-01
4.00000000e-12,7.10184012e-01,0.00000000e+00,2.80000000e-01
4.10000000e-12,7.10235317e-01,0.00000000e+00,2.87000000e-01
4.20000000e-12,7.10286831e-01,0.00000000e+00,2.94000000e-01
4.30000000e-12,7.10338306e-01,0.00000000e+00,3.01000000e-01
4.40000000e-12,7.10389739e-01,0.00000000e+00,3.08000000e-01
4.50000000e-12,7.10440885e-01,0.00000000e+00,3.15000000e-01
4.60000000e-12,7.10491431e-01,0.00000000e+00,3.22000000e-01
4.70000000e-12,7.10541636e-01,0.00000000e+00,3.29000000e-01
4.80000000e-12,7.10590219e-01,0.00000000e+00,3.36000000e-01
4.89752188e-12,7.10637597e-01,0.00000000e+00,3.42826532e-01
5.00000000e-12,7.10703550e-01,0.00000000e+00,3.50000000e-01
5.10000000e-12,7.10767908e-01,0.00000000e+00,3.57000000e-01
5.20000000e-12,7.10828184e-01,0.00000000e+00,3.64000000e-01
5.30000000e-12,7.10869916e-01,0.00000000e+00,3.71000000e-01
5.40000000e-12,7.10908019e-01,0.00000000e+00,3.78000000e-01
5.50000000e-12,7.10942781e-01,0.00000000e+00,3.85000000e-01
