TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999971e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.02818311e-01,7.00000000e-03,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.04647403e-01,1.40000000e-02,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.05897400e-01,2.10000000e-02,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.06685952e-01,2.80000000e-02,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.07474505e-01,3.50000000e-02,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.07736539e-01,4.20000000e-02,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.07933498e-01,4.90000000e-02,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.08130456e-01,5.60000000e-02,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.08327415e-01,6.30000000e-02,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.08524373e-01,7.00000000e-02,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.08584379e-01,7.70000000e-02,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.08603477e-01,8.40000000e-02,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.08622574e-01,9.10000000e-02,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.08641672e-01,9.80000000e-02,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.08660770e-01,1.05000000e-01,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.08684620e-01,1.12000000e-01,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.08711030e-01,1.19000000e-01,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.08737439e-01,1.26000000e-01,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.08763849e-01,1.33000000e-01,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.08790258e-01,1.40000000e-01,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.08816668e-01,1.47000000e-01,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.08843078e-01,1.54000000e-01,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.08869487e-01,1.61000000e-01,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.08895897e-01,1.68000000e-01,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.08922306e-01,1.75000000e-01,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.08949077e-01,1.82000000e-01,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.08976366e-01,1.89000000e-01,0.00000000e+00,0.00000000e+00
2.80000000e-12,7.09003655e-01,1.96000000e-01,0.00000000e+00,0.00000000e+00
2.90000000e-12,7.09030944e-01,2.03000000e-01,0.00000000e+00,0.00000000e+00
3.00000000e-12,7.09058233e-01,2.10000000e-01,0.00000000e+00,0.00000000e+00
3.10000000e-12,7.09085522e-01,2.17000000e-01,0.00000000e+00,0.00000000e+00
3.20000000e-12,7.09112811e-01,2.24000000e-01,0.00000000e+00,0.00000000e+00
3.30000000e-12,7.09140100e-01,2.31000000e-01,0.00000000e+00,0.00000000e+00
3.40000000e-12,7.09167389e-01,2.38000000e-01,0.00000000e+00,0.00000000e+00
3.50000000e-12,7.09194678e-01,2.45000000e-01,0.00000000e+00,0.00000000e+00
3.60000000e-12,7.09219653e-01,2.52000000e-01,0.00000000e+00,0.00000000e+00
3.70000000e-12,7.09233329e-01,2.59000000e-01,0.00000000e+00,0.00000000e+00
3.80000000e-12,7.09247005e-01,2.66000000e-01,0.00000000e+00,0.00000000e+00
3.90000000e-12,7.09260682e-01,2.73000000e-01,0.00000000e+00,0.00000000e+00
4.00000000e-12,7.09274358e-01,2.80000000e-01,0.00000000e+00,0.00000000e+00
4.10000000e-12,7.09288034e-01,2.87000000e-01,0.00000000e+00,0.00000000e+00
4.20000000e-12,7.09301710e-01,2.94000000e-01,0.00000000e+00,0.00000000e+00
4.30000000e-12,7.09315387e-01,3.01000000e-01,0.00000000e+00,0.00000000e+00
4.40000000e-12,7.09329063e-01,3.08000000e-01,0.00000000e+00,0.00000000e+00
4.50000000e-12,7.09342739e-01,3.15000000e-01,0.00000000e+00,0.00000000e+00
4.60000000e-12,7.09356415e-01,3.22000000e-01,0.00000000e+00,0.00000000e+00
4.70000000e-12,7.09370092e-01,3.29000000e-01,0.00000000e+00,0.00000000e+00
4.80000000e-12,7.09383768e-01,3.36000000e-01,0.00000000e+00,0.00000000e+00
4.90000000e-12,7.09397444e-01,3.43000000e-01,0.00000000e+00,0.00000000e+00
5.00000000e-12,7.09411120e-01,3.50000000e-01,0.00000000e+00,0.00000000e+00
5.10000000e-12,7.09424797e-01,3.57000000e-01,0.00000000e+00,0.00000000e+00
5.20000000e-12,7.09438473e-01,3.64000000e-01,0.00000000e+00,0.00000000e+00
5.30000000e-12,7.09452149e-01,3.71000000e-01,0.00000000e+00,0.00000000e+00
5.40000000e-12,7.09465826e-01,3.78000000e-01,0.00000000e+00,0.00000000e+00
5.50000000e-12,7.09479502e-01,3.85000000e-01,0.00000000e+00,0.00000000e+00
5.60000000e-12,7.09493178e-01,3.92000000e-01,0.00000000e+00,0.00000000e+00
5.70000000e-12,7.09451365e-01,3.99000000e-01,0.00000000e+00,0.00000000e+00
5.80000000e-12,7.09384622e-01,4.06000000e-01,0.00000000e+00,0.00000000e+00
5.90000000e-12,7.09317879e-01,4.13000000e-01,0.00000000e+00,0.00000000e+00
6.00000000e-12,7.09251135e-01,4.20000000e-01,0.00000000e+00,0.00000000e+00
6.10000000e-12,7.09184392e-01,4.27000000e-01,0.00000000e+00,0.00000000e+00
6.20000000e-12,7.09117649e-01,4.34000000e-01,0.00000000e+00,0.00000000e+00
6.30000000e-12,7.09050906e-01,4.41000000e-01,0.00000000e+00,0.00000000e+00
6.40000000e-12,7.08984163e-01,4.48000000e-01,0.00000000e+00,0.00000000e+00
6.50000000e-12,7.08917419e-01,4.55000000e-01,0.00000000e+00,0.00000000e+00
6.60000000e-12,7.08850676e-01,4.62000000e-01,0.00000000e+00,0.00000000e+00
6.70000000e-12,7.08783933e-01,4.69000000e-01,0.00000000e+00,0.00000000e+00
6.80000000e-12,7.08717190e-01,4.76000000e-01,0.00000000e+00,0.00000000e+00
6.90000000e-12,7.08650447e-01,4.83000000e-01,0.00000000e+00,0.00000000e+00
7.00000000e-12,7.08583704e-01,4.90000000e-01,0.00000000e+00,0.00000000e+00
7.10000000e-12,7.08516960e-01,4.97000000e-01,0.00000000e+00,0.00000000e+00
7.20000000e-12,7.08450217e-01,5.04000000e-01,0.00000000e+00,0.00000000e+00
7.30000000e-12,7.08383474e-01,5.11000000e-01,0.00000000e+00,0.00000000e+00
7.40000000e-12,7.08276286e-01,5.18000000e-01,0.00000000e+00,0.00000000e+00
7.50000000e-12,7.08106914e-01,5.25000000e-01,0.00000000e+00,0.00000000e+00
7.60000000e-12,7.07937542e-01,5.32000000e-01,0.00000000e+00,0.00000000e+00
7.70000000e-12,7.07768170e-01,5.39000000e-01,0.00000000e+00,0.00000000e+00
7.80000000e-12,7.07598798e-01,5.46000000e-01,0.00000000e+00,0.00000000e+00
7.90000000e-12,7.07429426e-01,5.53000000e-01,0.00000000e+00,0.00000000e+00
8.00000000e-12,7.07260054e-01,5.60000000e-01,0.00000000e+00,0.00000000e+00
8.10000000e-12,7.07090682e-01,5.67000000e-01,0.00000000e+00,0.00000000e+00
8.20000000e-12,7.06955856e-01,5.74000000e-01,0.00000000e+00,0.00000000e+00
8.30000000e-12,7.06838661e-01,5.81000000e-01,0.00000000e+00,0.00000000e+00
8.40000000e-12,7.06721466e-01,5.88000000e-01,0.00000000e+00,0.00000000e+00
8.50000000e-12,7.06604271e-01,5.95000000e-01,0.00000000e+00,0.00000000e+00
8.60000000e-12,7.06487076e-01,6.02000000e-01,0.00000000e+00,0.00000000e+00
8.70000000e-12,7.06369880e-01,6.09000000e-01,0.00000000e+00,0.00000000e+00
8.80000000e-12,7.06252685e-01,6.16000000e-01,0.00000000e+00,0.00000000e+00
8.90000000e-12,7.06135490e-01,6.23000000e-01,0.00000000e+00,0.00000000e+00
9.00000000e-12,7.06071146e-01,6.30000000e-01,0.00000000e+00,0.00000000e+00
9.10000000e-12,7.06010773e-01,6.37000000e-01,0.00000000e+00,0.00000000e+00
9.20000000e-12,7.05950400e-01,6.44000000e-01,0.00000000e+00,0.00000000e+00
9.30000000e-12,7.05890027e-01,6.51000000e-01,0.00000000e+00,0.00000000e+00
9.40000000e-12,7.05829654e-01,6.58000000e-01,0.00000000e+00,0.00000000e+00
9.50000000e-12,7.05769282e-01,6.65000000e-01,0.00000000e+00,0.00000000e+00
9.60000000e-12,7.05708909e-01,6.72000000e-01,0.00000000e+00,0.00000000e+00
9.70000000e-12,7.05644685e-01,6.79000000e-01,0.00000000e+00,0.00000000e+00
9.80000000e-12,7.05564872e-01,6.86000000e-01,0.00000000e+00,0.00000000e+00
9.90000000e-12,7.05485060e-01,6.93000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e-11,7.05405247e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.01000000e-11,7.03613103e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.02000000e-11,7.02208556e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.03000000e-11,7.01186020e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.04000000e-11,7.00362240e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.05000000e-11,6.99955386e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.06000000e-11,6.99548532e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.07000000e-11,6.99155921e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.08000000e-11,6.99094716e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.09000000e-11,6.99033510e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.10000000e-11,6.98972305e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.11000000e-11,6.98911099e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.12000000e-11,6.98849894e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.13000000e-11,6.98788689e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.14000000e-11,6.98812984e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.15000000e-11,6.98851708e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.16000000e-11,6.98890432e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.17000000e-11,6.98929156e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.18000000e-11,6.98967880e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.19000000e-11,6.99006604e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.20000000e-11,6.99034904e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.21000000e-11,6.99058070e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.22000000e-11,6.99081237e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.23000000e-11,6.99104403e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.24000000e-11,6.99127569e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
1.25000000e-11,6.99150735e-01,7.00000000e-01,0.00000000e+00,0.00000000e+00
