TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999899e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.02033244e-01,0.00000000e+00,7.00000000e-03,0.00000000e+00
2.00000000e-13,7.03321603e-01,0.00000000e+00,1.40000000e-02,0.00000000e+00
3.00000000e-13,7.04185067e-01,0.00000000e+00,2.10000000e-02,0.00000000e+00
4.00000000e-13,7.04713202e-01,0.00000000e+00,2.80000000e-02,0.00000000e+00
5.00000000e-13,7.05241337e-01,0.00000000e+00,3.50000000e-02,0.00000000e+00
6.00000000e-13,7.05404755e-01,0.00000000e+00,4.20000000e-02,0.00000000e+00
7.00000000e-13,7.05523095e-01,0.00000000e+00,4.90000000e-02,0.00000000e+00
8.00000000e-13,7.05641436e-01,0.00000000e+00,5.60000000e-02,0.00000000e+00
9.00000000e-13,7.05759777e-01,0.00000000e+00,6.30000000e-02,0.00000000e+00
1.00000000e-12,7.05878117e-01,0.00000000e+00,7.00000000e-02,0.00000000e+00
1.10000000e-12,7.05909889e-01,0.00000000e+00,7.70000000e-02,0.00000000e+00
1.20000000e-12,7.05915802e-01,0.00000000e+00,8.40000000e-02,0.00000000e+00
1.30000000e-12,7.05921716e-01,0.00000000e+00,9.10000000e-02,0.00000000e+00
1.40000000e-12,7.05927629e-01,0.00000000e+00,9.80000000e-02,0.00000000e+00
1.50000000e-12,7.05933543e-01,0.00000000e+00,1.05000000e-01,0.00000000e+00
1.60000000e-12,7.05943969e-01,0.00000000e+00,1.12000000e-01,0.00000000e+00
1.70000000e-12,7.05956824e-01,0.00000000e+00,1.19000000e-01,0.00000000e+00
1.80000000e-12,7.05969680e-01,0.00000000e+00,1.26000000e-01,0.00000000e+00
1.90000000e-12,7.05982536e-01,0.00000000e+00,1.33000000e-01,0.00000000e+00
2.00000000e-12,7.05995392e-01,0.00000000e+00,1.40000000e-01,0.00000000e+00
2.10000000e-12,7.06008248e-01,0.00000000e+00,1.47000000e-01,0.00000000e+00
2.20000000e-12,7.06021104e-01,0.00000000e+00,1.54000000e-01,0.00000000e+00
2.30000000e-12,7.06033959e-01,0.00000000e+00,1.61000000e-01,0.00000000e+00
2.40000000e-12,7.06046815e-01,0.00000000e+00,1.68000000e-01,0.00000000e+00
2.50000000e-12,7.06059671e-01,0.00000000e+00,1.75000000e-01,0.00000000e+00
2.60000000e-12,7.06072169e-01,0.00000000e+00,1.82000000e-01,0.00000000e+00
2.70000000e-12,7.06084152e-01,0.00000000e+00,1.89000000e-01,0.00000000e+00
2.80000000e-12,7.06096134e-01,0.00000000e+00,1.96000000e-01,0.00000000e+00
2.90000000e-12,7.06108117e-01,0.00000000e+00,2.03000000e-01,0.00000000e+00
3.00000000e-12,7.06120100e-01,0.00000000e+00,2.10000000e-01,0.00000000e+00
3.10000000e-12,7.06132083e-01,0.00000000e+00,2.17000000e-01,0.00000000e+00
3.20000000e-12,7.06144066e-01,0.00000000e+00,2.24000000e-01,0.00000000e+00
3.30000000e-12,7.06156048e-01,0.00000000e+00,2.31000000e-01,0.00000000e+00
3.40000000e-12,7.06168031e-01,0.00000000e+00,2.38000000e-01,0.00000000e+00
3.50000000e-12,7.06180014e-01,0.00000000e+00,2.45000000e-01,0.00000000e+00
3.60000000e-12,7.06190738e-01,0.00000000e+00,2.52000000e-01,0.00000000e+00
