TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99999983e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01582240e-01,0.00000000e+00,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.02593710e-01,0.00000000e+00,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.03275770e-01,0.00000000e+00,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.03696719e-01,0.00000000e+00,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.04117668e-01,0.00000000e+00,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.04248434e-01,0.00000000e+00,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.04343335e-01,0.00000000e+00,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.04438237e-01,0.00000000e+00,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.04533138e-01,0.00000000e+00,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.04628039e-01,0.00000000e+00,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.04650951e-01,0.00000000e+00,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.04652360e-01,0.00000000e+00,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.04653769e-01,0.00000000e+00,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.04655178e-01,0.00000000e+00,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.04656587e-01,0.00000000e+00,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.04660330e-01,0.00000000e+00,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.04665331e-01,0.00000000e+00,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.04670331e-01,0.00000000e+00,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.04675332e-01,0.00000000e+00,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.04680332e-01,0.00000000e+00,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.04685333e-01,0.00000000e+00,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.04690334e-01,0.00000000e+00,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.04695334e-01,0.00000000e+00,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.04700335e-01,0.00000000e+00,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.04705335e-01,0.00000000e+00,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.04708922e-01,0.00000000e+00,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.04710474e-01,0.00000000e+00,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.04712026e-01,0.00000000e+00,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.04713578e-01,0.00000000e+00,0.00000000e+00,2.03000000e-01
3.00000000e-12,7.04715130e-01,0.00000000e+00,0.00000000e+00,2.10000000e-01
3.10000000e-12,7.04716682e-01,0.00000000e+00,0.00000000e+00,2.17000000e-01
3.20000000e-12,7.04718234e-01,0.00000000e+00,0.00000000e+00,2.24000000e-01
3.30000000e-12,7.04719786e-01,0.00000000e+00,0.00000000e+00,2.31000000e-01
3.40000000e-12,7.04721338e-01,0.00000000e+00,0.00000000e+00,2.38000000e-01
3.50000000e-12,7.04722890e-01,0.00000000e+00,0.00000000e+00,2.45000000e-01
3.60000000e-12,7.04721631e-01,0.00000000e+00,0.00000000e+00,2.52000000e-01
3.70000000e-12,7.04706644e-01,0.00000000e+00,0.00000000e+00,2.59000000e-01
3.80000000e-12,7.04691658e-01,0.00000000e+00,0.00000000e+00,2.66000000e-01
3.90000000e-12,7.04676672e-01,0.00000000e+00,0.00000000e+00,2.73000000e-01
4.00000000e-12,7.04661686e-01,0.00000000e+00,0.00000000e+00,2.80000000e-01
4.10000000e-12,7.04646700e-01,0.00000000e+00,0.00000000e+00,2.87000000e-01
4.20000000e-12,7.04631713e-01,0.00000000e+00,0.00000000e+00,2.94000000e-01
4.30000000e-12,7.04616727e-01,0.00000000e+00,0.00000000e+00,3.01000000e-01
4.40000000e-12,7.04601741e-01,0.00000000e+00,0.00000000e+00,3.08000000e-01
4.50000000e-12,7.04586755e-01,0.00000000e+00,0.00000000e+00,3.15000000e-01
4.60000000e-12,7.04571768e-01,0.00000000e+00,0.00000000e+00,3.22000000e-01
4.70000000e-12,7.04556782e-01,0.00000000e+00,0.00000000e+00,3.29000000e-01
4.80000000e-12,7.04541796e-01,0.00000000e+00,0.00000000e+00,3.36000000e-01
4.90000000e-12,7.04526810e-01,0.00000000e+00,0.00000000e+00,3.43000000e-01
5.00000000e-12,7.04511824e-01,0.00000000e+00,0.00000000e+00,3.50000000e-01
5.10000000e-12,7.04496837e-01,0.00000000e+00,0.00000000e+00,3.57000000e-01
5.20000000e-12,7.04481851e-01,0.00000000e+00,0.00000000e+00,3.64000000e-01
5.30000000e-12,7.04466865e-01,0.00000000e+00,0.00000000e+00,3.71000000e-01
5.40000000e-12,7.04451879e-01,0.00000000e+00,0.00000000e+00,3.78000000e-01
5.50000000e-12,7.04436892e-01,0.00000000e+00,0.00000000e+00,3.85000000e-01
5.60000000e-12,7.04421906e-01,0.00000000e+00,0.00000000e+00,3.92000000e-01
5.70000000e-12,7.04342374e-01,0.00000000e+00,0.00000000e+00,3.99000000e-01
5.80000000e-12,7.04233844e-01,0.00000000e+00,0.00000000e+00,4.06000000e-01
5.90000000e-12,7.04125313e-01,0.00000000e+00,0.00000000e+00,4.13000000e-01
6.00000000e-12,7.04016783e-01,0.00000000e+00,0.00000000e+00,4.20000000e-01
6.10000000e-12,7.03908252e-01,0.00000000e+00,0.00000000e+00,4.27000000e-01
6.20000000e-12,7.03799722e-01,0.00000000e+00,0.00000000e+00,4.34000000e-01
6.30000000e-12,7.03691191e-01,0.00000000e+00,0.00000000e+00,4.41000000e-01
6.40000000e-12,7.03582661e-01,0.00000000e+00,0.00000000e+00,4.48000000e-01
6.50000000e-12,7.03474130e-01,0.00000000e+00,0.00000000e+00,4.55000000e-01
6.60000000e-12,7.03365600e-01,0.00000000e+00,0.00000000e+00,4.62000000e-01
6.70000000e-12,7.03257069e-01,0.00000000e+00,0.00000000e+00,4.69000000e-01
6.80000000e-12,7.03148538e-01,0.00000000e+00,0.00000000e+00,4.76000000e-01
6.90000000e-12,7.03040008e-01,0.00000000e+00,0.00000000e+00,4.83000000e-01
7.00000000e-12,7.02931477e-01,0.00000000e+00,0.00000000e+00,4.90000000e-01
7.10000000e-12,7.02822947e-01,0.00000000e+00,0.00000000e+00,4.97000000e-01
7.20000000e-12,7.02714416e-01,0.00000000e+00,0.00000000e+00,5.04000000e-01
7.30000000e-12,7.02605886e-01,0.00000000e+00,0.00000000e+00,5.11000000e-01
7.40000000e-12,7.02497355e-01,0.00000000e+00,0.00000000e+00,5.18000000e-01
7.50000000e-12,7.02388825e-01,0.00000000e+00,0.00000000e+00,5.25000000e-01
7.60000000e-12,7.02280294e-01,0.00000000e+00,0.00000000e+00,5.32000000e-01
7.70000000e-12,7.02196187e-01,0.00000000e+00,0.00000000e+00,5.39000000e-01
7.80000000e-12,7.02203958e-01,0.00000000e+00,0.00000000e+00,5.46000000e-01
7.90000000e-12,7.02211730e-01,0.00000000e+00,0.00000000e+00,5.53000000e-01
8.00000000e-12,7.02219501e-01,0.00000000e+00,0.00000000e+00,5.60000000e-01
8.10000000e-12,7.02227272e-01,0.00000000e+00,0.00000000e+00,5.67000000e-01
8.20000000e-12,7.02235044e-01,0.00000000e+00,0.00000000e+00,5.74000000e-01
8.30000000e-12,7.02242815e-01,0.00000000e+00,0.00000000e+00,5.81000000e-01
8.40000000e-12,7.02250586e-01,0.00000000e+00,0.00000000e+00,5.88000000e-01
8.50000000e-12,7.02258358e-01,0.00000000e+00,0.00000000e+00,5.95000000e-01
8.60000000e-12,7.02266129e-01,0.00000000e+00,0.00000000e+00,6.02000000e-01
8.70000000e-12,7.02273901e-01,0.00000000e+00,0.00000000e+00,6.09000000e-01
8.80000000e-12,7.02281672e-01,0.00000000e+00,0.00000000e+00,6.16000000e-01
8.90000000e-12,7.02289443e-01,0.00000000e+00,0.00000000e+00,6.23000000e-01
9.00000000e-12,7.02297215e-01,0.00000000e+00,0.00000000e+00,6.30000000e-01
9.10000000e-12,7.02304986e-01,0.00000000e+00,0.00000000e+00,6.37000000e-01
9.20000000e-12,7.02312757e-01,0.00000000e+00,0.00000000e+00,6.44000000e-01
9.30000000e-12,7.02320529e-01,0.00000000e+00,0.00000000e+00,6.51000000e-01
9.40000000e-12,7.02328300e-01,0.00000000e+00,0.00000000e+00,6.58000000e-01
9.50000000e-12,7.02336071e-01,0.00000000e+00,0.00000000e+00,6.65000000e-01
9.60000000e-12,7.02343843e-01,0.00000000e+00,0.00000000e+00,6.72000000e-01
9.70000000e-12,7.02351614e-01,0.00000000e+00,0.00000000e+00,6.79000000e-01
9.80000000e-12,7.02341264e-01,0.00000000e+00,0.00000000e+00,6.86000000e-01
9.90000000e-12,7.02324212e-01,0.00000000e+00,0.00000000e+00,6.93000000e-01
1.00000000e-11,7.02307160e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.01000000e-11,7.01792524e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.02000000e-11,7.01327963e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.03000000e-11,7.01014325e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.04000000e-11,7.00738594e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.05000000e-11,7.00501035e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.06000000e-11,7.00367500e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.07000000e-11,7.00269126e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.08000000e-11,7.00170751e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.09000000e-11,7.00092739e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.10000000e-11,7.00077262e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.11000000e-11,7.00061785e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.12000000e-11,7.00046307e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.13000000e-11,7.00030830e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.14000000e-11,7.00015352e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.15000000e-11,6.99999875e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.16000000e-11,6.99988440e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.17000000e-11,6.99989655e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.18000000e-11,6.99990870e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.19000000e-11,6.99992085e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.20000000e-11,6.99993301e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.21000000e-11,6.99994516e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.22000000e-11,6.99995731e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.23000000e-11,6.99996947e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.24000000e-11,6.99998162e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.25000000e-11,6.99999377e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.26000000e-11,7.00000593e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.27000000e-11,7.00001808e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.28000000e-11,7.00003023e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.29000000e-11,7.00004238e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.30000000e-11,7.00005043e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.31000000e-11,7.00004511e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.32000000e-11,7.00003978e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.33000000e-11,7.00003446e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.34000000e-11,7.00002914e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.35000000e-11,7.00002382e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.36000000e-11,7.00001850e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.37000000e-11,7.00001317e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.38000000e-11,7.00000785e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.39000000e-11,7.00000253e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.40000000e-11,6.99999721e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.41000000e-11,6.99999188e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.42000000e-11,6.99998656e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.43000000e-11,6.99998124e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.44000000e-11,6.99997744e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.45000000e-11,6.99997879e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.46000000e-11,6.99998015e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.47000000e-11,6.99998150e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.48000000e-11,6.99998286e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.49000000e-11,6.99998421e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.50000000e-11,6.99998556e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.51000000e-11,6.99998692e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.52000000e-11,6.99998827e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.53000000e-11,6.99998963e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.54000000e-11,6.99999098e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.55000000e-11,6.99999233e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.56000000e-11,6.99999369e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.57000000e-11,6.99999504e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.58000000e-11,6.99999639e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.59000000e-11,6.99999775e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.60000000e-11,6.99999910e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.61000000e-11,7.00000046e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.62000000e-11,7.00000181e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.63000000e-11,7.00000316e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.64000000e-11,7.00000452e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.65000000e-11,7.00000587e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.66000000e-11,7.00000723e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.67000000e-11,7.00000858e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.68000000e-11,7.00000993e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
1.69000000e-11,7.00001129e-01,0.00000000e+00,0.00000000e+00,7.00000000e-01
