TIME,V(OUT),V(IN1),V(IN2),V(IN3),V(IN4)
0.00000000e+00,6.99999945e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.02145788e-01,7.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.03484324e-01,1.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.04369914e-01,2.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.04900254e-01,2.80000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.05430594e-01,3.50000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.05586568e-01,4.20000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.05696273e-01,4.90000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.05805977e-01,5.60000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.05915681e-01,6.30000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.06025385e-01,7.00000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.06051902e-01,7.70000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.06053570e-01,8.40000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.06055239e-01,9.10000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.06056908e-01,9.80000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.06058576e-01,1.05000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.06065643e-01,1.12000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.06075617e-01,1.19000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.06085590e-01,1.26000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.06095564e-01,1.33000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.06105538e-01,1.40000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.06115511e-01,1.47000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.06125485e-01,1.54000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.06135458e-01,1.61000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.06145432e-01,1.68000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.06155405e-01,1.75000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.06164862e-01,1.82000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.06173575e-01,1.89000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-12,7.06182289e-01,1.96000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-12,7.06191002e-01,2.03000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-12,7.06199715e-01,2.10000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-12,7.06208428e-01,2.17000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-12,7.06217142e-01,2.24000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-12,7.06225855e-01,2.31000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-12,7.06234568e-01,2.38000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-12,7.06243281e-01,2.45000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-12,7.06250723e-01,2.52000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-12,7.06251958e-01,2.59000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-12,7.06253193e-01,2.66000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-12,7.06254428e-01,2.73000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-12,7.06255663e-01,2.80000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-12,7.06256898e-01,2.87000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-12,7.06258133e-01,2.94000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-12,7.06259368e-01,3.01000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-12,7.06260603e-01,3.08000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-12,7.06261838e-01,3.15000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-12,7.06263073e-01,3.22000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-12,7.06264308e-01,3.29000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-12,7.06265543e-01,3.36000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-12,7.06266778e-01,3.43000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-12,7.06268013e-01,3.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-12,7.06269248e-01,3.57000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-12,7.06270483e-01,3.64000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-12,7.06271717e-01,3.71000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-12,7.06272952e-01,3.78000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-12,7.06274187e-01,3.85000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-12,7.06275422e-01,3.92000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.70000000e-12,7.06215974e-01,3.99000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-12,7.06129262e-01,4.06000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-12,7.06042550e-01,4.13000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-12,7.05955838e-01,4.20000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-12,7.05869126e-01,4.27000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
