TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999927e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.02921274e-01,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.04870132e-01,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.06233640e-01,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.07125964e-01,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.08018288e-01,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.08343873e-01,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.08599412e-01,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.08854951e-01,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.09110490e-01,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.09366029e-01,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.09458832e-01,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.09503025e-01,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.09547218e-01,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.09591411e-01,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.09635604e-01,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.09682807e-01,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.09731630e-01,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.09780453e-01,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.09829276e-01,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.09878099e-01,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.09926922e-01,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.09975746e-01,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.10024569e-01,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.10073392e-01,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.10122215e-01,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.10173938e-01,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.10229835e-01,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.10285732e-01,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.10341628e-01,0.00000000e+00,2.03000000e-01
3.00000000e-12,7.10397525e-01,0.00000000e+00,2.10000000e-01
3.10000000e-12,7.10453422e-01,0.00000000e+00,2.17000000e-01
3.20000000e-12,7.10509319e-01,0.00000000e+00,2.24000000e-01
3.30000000e-12,7.10565215e-01,0.00000000e+00,2.31000000e-01
3.40000000e-12,7.10621112e-01,0.00000000e+00,2.38000000e-01
3.50000000e-12,7.10677009e-01,0.00000000e+00,2.45000000e-01
3.60000000e-12,7.10734038e-01,0.00000000e+00,2.52000000e-01
3.70351025e-12,7.10798790e-01,0.00000000e+00,2.59245717e-01
3.80000000e-12,7.10850158e-01,0.00000000e+00,2.66000000e-01
3.90000000e-12,7.10903394e-01,0.00000000e+00,2.73000000e-01
4.00000000e-12,7.10957273e-01,0.00000000e+00,2.80000000e-01
4.10000000e-12,7.11011666e-01,0.00000000e+00,2.87000000e-01
4.20000000e-12,7.11066060e-01,0.00000000e+00,2.94000000e-01
4.30000000e-12,7.11120453e-01,0.00000000e+00,3.01000000e-01
4.40000000e-12,7.11174847e-01,0.00000000e+00,3.08000000e-01
4.50000000e-12,7.11222728e-01,0.00000000e+00,3.15000000e-01
4.60000000e-12,7.11268252e-01,0.00000000e+00,3.22000000e-01
4.70000000e-12,7.11313776e-01,0.00000000e+00,3.29000000e-01
4.80000000e-12,7.11359300e-01,0.00000000e+00,3.36000000e-01
4.90000000e-12,7.11395529e-01,0.00000000e+00,3.43000000e-01
5.00000000e-12,7.11422410e-01,0.00000000e+00,3.50000000e-01
5.10000000e-12,7.11449292e-01,0.00000000e+00,3.57000000e-01
5.20296948e-12,7.11476971e-01,0.00000000e+00,3.64207863e-01
5.30000000e-12,7.11474579e-01,0.00000000e+00,3.71000000e-01
5.40000000e-12,7.11472112e-01,0.00000000e+00,3.78000000e-01
5.50000000e-12,7.11469646e-01,0.00000000e+00,3.85000000e-01
5.60000000e-12,7.11431406e-01,0.00000000e+00,3.92000000e-01
5.70000000e-12,7.11383931e-01,0.00000000e+00,3.99000000e-01
5.80000000e-12,7.11336457e-01,0.00000000e+00,4.06000000e-01
5.90000000e-12,7.11248270e-01,0.00000000e+00,4.13000000e-01
6.00000000e-12,7.11135064e-01,0.00000000e+00,4.20000000e-01
6.10000000e-12,7.11021858e-01,0.00000000e+00,4.27000000e-01
6.20000000e-12,7.10874923e-01,0.00000000e+00,4.34000000e-01
6.30000000e-12,7.10685736e-01,0.00000000e+00,4.41000000e-01
6.40000000e-12,7.10496549e-01,0.00000000e+00,4.48000000e-01
6.50000000e-12,7.10271375e-01,0.00000000e+00,4.55000000e-01
6.60000000e-12,7.10020775e-01,0.00000000e+00,4.62000000e-01
6.70000000e-12,7.09770175e-01,0.00000000e+00,4.69000000e-01
6.80000000e-12,7.09503801e-01,0.00000000e+00,4.76000000e-01
6.90000000e-12,7.09231537e-01,0.00000000e+00,4.83000000e-01
7.00000000e-12,7.08959272e-01,0.00000000e+00,4.90000000e-01
7.10000000e-12,7.08730700e-01,0.00000000e+00,4.97000000e-01
7.20000000e-12,7.08508649e-01,0.00000000e+00,5.04000000e-01
7.30000000e-12,7.08286597e-01,0.00000000e+00,5.11000000e-01
7.40000000e-12,7.08064545e-01,0.00000000e+00,5.18000000e-01
7.50000000e-12,7.07842494e-01,0.00000000e+00,5.25000000e-01
7.60000000e-12,7.07639223e-01,0.00000000e+00,5.32000000e-01
7.70000000e-12,7.07538881e-01,0.00000000e+00,5.39000000e-01
7.80000000e-12,7.07438539e-01,0.00000000e+00,5.46000000e-01
7.90000000e-12,7.07338197e-01,0.00000000e+00,5.53000000e-01
8.00000000e-12,7.07237855e-01,0.00000000e+00,5.60000000e-01
8.10000000e-12,7.07137513e-01,0.00000000e+00,5.67000000e-01
8.20000000e-12,7.07070559e-01,0.00000000e+00,5.74000000e-01
8.30000000e-12,7.07046362e-01,0.00000000e+00,5.81000000e-01
8.40000000e-12,7.07022166e-01,0.00000000e+00,5.88000000e-01
8.50000000e-12,7.06997969e-01,0.00000000e+00,5.95000000e-01
