TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999735e-01,0.00000000e+00,0.00000000e+00
1.00000000e-15,7.00047934e-01,7.00000000e-05,0.00000000e+00
3.00000000e-15,7.00144181e-01,2.10000000e-04,0.00000000e+00
7.00000000e-15,7.00336324e-01,4.90000000e-04,0.00000000e+00
1.50000000e-14,7.00718704e-01,1.05000000e-03,0.00000000e+00
3.10000000e-14,7.01475931e-01,2.17000000e-03,0.00000000e+00
6.30000000e-14,7.02960900e-01,4.41000000e-03,0.00000000e+00
1.27000000e-13,7.05817947e-01,8.89000000e-03,0.00000000e+00
2.55000000e-13,7.11117863e-01,1.78500000e-02,0.00000000e+00
5.11000000e-13,7.20315959e-01,3.57700000e-02,0.00000000e+00
7.67000000e-13,7.27974529e-01,5.36900000e-02,0.00000000e+00
1.02300000e-12,7.34416164e-01,7.16100000e-02,0.00000000e+00
1.53500000e-12,7.44442939e-01,1.07450000e-01,0.00000000e+00
2.55900000e-12,7.56098824e-01,1.79130000e-01,0.00000000e+00
3.58300000e-12,7.61338407e-01,2.50810000e-01,0.00000000e+00
4.60700000e-12,7.63707107e-01,3.22490000e-01,0.00000000e+00
6.65500000e-12,7.65388100e-01,4.65850000e-01,0.00000000e+00
8.70300000e-12,7.65602323e-01,6.09210000e-01,0.00000000e+00
1.00000000e-11,7.65556683e-01,7.00000000e-01,0.00000000e+00
1.01953573e-11,7.59376835e-01,7.00000000e-01,0.00000000e+00
1.03534203e-11,7.54846901e-01,7.00000000e-01,0.00000000e+00
1.05114832e-11,7.50523905e-01,7.00000000e-01,0.00000000e+00
1.08276092e-11,7.43040034e-01,7.00000000e-01,0.00000000e+00
1.11437351e-11,7.36849449e-01,7.00000000e-01,0.00000000e+00
1.17759870e-11,7.27242845e-01,7.00000000e-01,0.00000000e+00
1.30404908e-11,7.15091090e-01,7.00000000e-01,0.00000000e+00
1.43049946e-11,7.08583920e-01,7.00000000e-01,0.00000000e+00
1.55694984e-11,7.04894808e-01,7.00000000e-01,0.00000000e+00
