TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99999742e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.03967010e-01,7.00000000e-03,0.00000000e+00
2.00000000e-13,7.06553125e-01,1.40000000e-02,0.00000000e+00
3.00000000e-13,7.08430869e-01,2.10000000e-02,0.00000000e+00
4.00000000e-13,7.09693783e-01,2.80000000e-02,0.00000000e+00
5.00000000e-13,7.10501902e-01,3.50000000e-02,0.00000000e+00
6.00000000e-13,7.10960603e-01,4.20000000e-02,0.00000000e+00
7.00000000e-13,7.11376118e-01,4.90000000e-02,0.00000000e+00
8.00000000e-13,7.11708830e-01,5.60000000e-02,0.00000000e+00
9.00000000e-13,7.11873427e-01,6.30000000e-02,0.00000000e+00
1.00000000e-12,7.12038024e-01,7.00000000e-02,0.00000000e+00
1.10000000e-12,7.12137674e-01,7.70000000e-02,0.00000000e+00
1.20000000e-12,7.12217925e-01,8.40000000e-02,0.00000000e+00
1.30000000e-12,7.12298176e-01,9.10000000e-02,0.00000000e+00
1.40000000e-12,7.12378427e-01,9.80000000e-02,0.00000000e+00
1.50000000e-12,7.12458678e-01,1.05000000e-01,0.00000000e+00
1.60000000e-12,7.12524231e-01,1.12000000e-01,0.00000000e+00
1.70000000e-12,7.12581869e-01,1.19000000e-01,0.00000000e+00
1.80000000e-12,7.12639508e-01,1.26000000e-01,0.00000000e+00
1.90000000e-12,7.12697146e-01,1.33000000e-01,0.00000000e+00
2.00000000e-12,7.12754784e-01,1.40000000e-01,0.00000000e+00
2.10000000e-12,7.12817928e-01,1.47000000e-01,0.00000000e+00
2.20000000e-12,7.12885954e-01,1.54000000e-01,0.00000000e+00
2.30000000e-12,7.12953980e-01,1.61000000e-01,0.00000000e+00
2.40000000e-12,7.13022006e-01,1.68000000e-01,0.00000000e+00
2.50000000e-12,7.13090032e-01,1.75000000e-01,0.00000000e+00
2.60000000e-12,7.13158058e-01,1.82000000e-01,0.00000000e+00
2.70000000e-12,7.13226084e-01,1.89000000e-01,0.00000000e+00
2.80000000e-12,7.13294110e-01,1.96000000e-01,0.00000000e+00
2.90000000e-12,7.13362136e-01,2.03000000e-01,0.00000000e+00
3.00000000e-12,7.13430162e-01,2.10000000e-01,0.00000000e+00
3.10000000e-12,7.13503577e-01,2.17000000e-01,0.00000000e+00
3.20000000e-12,7.13590186e-01,2.24000000e-01,0.00000000e+00
3.30000000e-12,7.13676795e-01,2.31000000e-01,0.00000000e+00
3.40000000e-12,7.13763404e-01,2.38000000e-01,0.00000000e+00
3.50000000e-12,7.13850013e-01,2.45000000e-01,0.00000000e+00
3.60000000e-12,7.13936622e-01,2.52000000e-01,0.00000000e+00
3.70000000e-12,7.14023231e-01,2.59000000e-01,0.00000000e+00
3.80000000e-12,7.14109840e-01,2.66000000e-01,0.00000000e+00
