TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,8.99999869e-01,0.00000000e+00,0.00000000e+00
1.00000000e-15,9.00024794e-01,0.00000000e+00,9.00000000e-05
3.00000000e-15,9.00075932e-01,0.00000000e+00,2.70000000e-04
7.00000000e-15,9.00175909e-01,0.00000000e+00,6.30000000e-04
1.50000000e-14,9.00371495e-01,0.00000000e+00,1.35000000e-03
3.10000000e-14,9.00754824e-01,0.00000000e+00,2.79000000e-03
6.30000000e-14,9.01485623e-01,0.00000000e+00,5.67000000e-03
1.27000000e-13,9.02819581e-01,0.00000000e+00,1.14300000e-02
2.55000000e-13,9.05048323e-01,0.00000000e+00,2.29500000e-02
5.11000000e-13,9.08212861e-01,0.00000000e+00,4.59900000e-02
1.02300000e-12,9.11593440e-01,0.00000000e+00,9.20700000e-02
2.04700000e-12,9.14108659e-01,0.00000000e+00,1.84230000e-01
3.07100000e-12,9.15405079e-01,0.00000000e+00,2.76390000e-01
5.11900000e-12,9.17488462e-01,0.00000000e+00,4.60710000e-01
5.32673419e-12,9.17545185e-01,0.00000000e+00,4.79406077e-01
5.74220256e-12,9.17596601e-01,0.00000000e+00,5.16798230e-01
6.15767093e-12,9.17650055e-01,0.00000000e+00,5.54190383e-01
6.57313930e-12,9.17679884e-01,0.00000000e+00,5.91582537e-01
6.98860767e-12,9.17670401e-01,0.00000000e+00,6.28974690e-01
7.81954441e-12,9.17518081e-01,0.00000000e+00,7.03758997e-01
8.49361981e-12,9.17243384e-01,0.00000000e+00,7.64425783e-01
9.16769522e-12,9.16817726e-01,0.00000000e+00,8.25092570e-01
1.00000000e-11,9.16062122e-01,0.00000000e+00,9.00000000e-01
1.01348151e-11,9.14146624e-01,0.00000000e+00,9.00000000e-01
1.02696302e-11,9.12461926e-01,0.00000000e+00,9.00000000e-01
1.05392603e-11,9.09489539e-01,0.00000000e+00,9.00000000e-01
1.10785206e-11,9.05440057e-01,0.00000000e+00,9.00000000e-01
1.16177810e-11,9.03116026e-01,0.00000000e+00,9.00000000e-01
1.26963016e-11,9.00917914e-01,0.00000000e+00,9.00000000e-01
1.37748223e-11,9.00266206e-01,0.00000000e+00,9.00000000e-01
1.59318636e-11,8.99981819e-01,0.00000000e+00,9.00000000e-01
1.80889049e-11,8.99991123e-01,0.00000000e+00,9.00000000e-01
2.24029875e-11,8.99991631e-01,0.00000000e+00,9.00000000e-01
3.10311526e-11,8.99991448e-01,0.00000000e+00,9.00000000e-01
4.10311526e-11,8.99991556e-01,0.00000000e+00,9.00000000e-01
5.10311526e-11,8.99991489e-01,0.00000000e+00,9.00000000e-01
6.10311526e-11,8.99991530e-01,0.00000000e+00,9.00000000e-01
7.10311526e-11,8.99991505e-01,0.00000000e+00,9.00000000e-01
8.10311526e-11,8.99991521e-01,0.00000000e+00,9.00000000e-01
9.10311526e-11,8.99991511e-01,0.00000000e+00,9.00000000e-01
1.00000000e-10,8.99991517e-01,0.00000000e+00,9.00000000e-01
1.00062500e-10,9.01817298e-01,5.62500000e-03,9.00000000e-01
1.00125000e-10,9.03529038e-01,1.12500000e-02,9.00000000e-01
1.00250000e-10,9.06742988e-01,2.25000000e-02,9.00000000e-01
1.00500000e-10,9.12117541e-01,4.50000000e-02,9.00000000e-01
1.01000000e-10,9.19935969e-01,9.00000000e-02,9.00000000e-01
1.02000000e-10,9.29692997e-01,1.80000000e-01,9.00000000e-01
1.04000000e-10,9.38510736e-01,3.60000000e-01,9.00000000e-01
1.04302239e-10,9.38181281e-01,3.87201546e-01,9.00000000e-01
1.04604479e-10,9.37150375e-01,4.14403093e-01,9.00000000e-01
1.05208958e-10,9.30427344e-01,4.68806185e-01,9.00000000e-01
1.05813436e-10,9.16306886e-01,5.23209278e-01,9.00000000e-01
1.06417915e-10,8.94096066e-01,5.77612370e-01,9.00000000e-01
1.07022394e-10,8.63455083e-01,6.32015463e-01,9.00000000e-01
1.07626873e-10,8.24265887e-01,6.86418555e-01,9.00000000e-01
1.08231352e-10,7.76313386e-01,7.40821648e-01,9.00000000e-01
1.08835830e-10,7.19169185e-01,7.95224740e-01,9.00000000e-01
1.09440309e-10,6.52563218e-01,8.49627833e-01,9.00000000e-01
