TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.00000000e-15,6.99998729e-01,0.00000000e+00,0.00000000e+00
3.00000000e-15,6.99998729e-01,0.00000000e+00,0.00000000e+00
7.00000000e-15,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.50000000e-14,6.99998729e-01,0.00000000e+00,0.00000000e+00
3.10000000e-14,6.99998729e-01,0.00000000e+00,0.00000000e+00
6.30000000e-14,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.27000000e-13,6.99998729e-01,0.00000000e+00,0.00000000e+00
2.55000000e-13,6.99998729e-01,0.00000000e+00,0.00000000e+00
5.11000000e-13,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.02300000e-12,6.99998729e-01,0.00000000e+00,0.00000000e+00
2.04700000e-12,6.99998729e-01,0.00000000e+00,0.00000000e+00
4.09500000e-12,6.99998729e-01,0.00000000e+00,0.00000000e+00
8.19100000e-12,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
2.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
3.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
4.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
5.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
6.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
7.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
8.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
9.63830000e-11,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.00000000e-10,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.01000000e-10,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.03000000e-10,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.07000000e-10,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.10000000e-10,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.10050000e-10,7.00735359e-01,0.00000000e+00,3.50000000e-03
1.10150000e-10,7.02542709e-01,0.00000000e+00,1.05000000e-02
1.10250000e-10,7.04448597e-01,0.00000000e+00,1.75000000e-02
1.10450000e-10,7.08395683e-01,0.00000000e+00,3.15000000e-02
1.10650000e-10,7.12031890e-01,0.00000000e+00,4.55000000e-02
1.11050000e-10,7.17937573e-01,0.00000000e+00,7.35000000e-02
1.11450000e-10,7.22384960e-01,0.00000000e+00,1.01500000e-01
1.11850000e-10,7.25859267e-01,0.00000000e+00,1.29500000e-01
1.12650000e-10,7.31203872e-01,0.00000000e+00,1.85500000e-01
1.14250000e-10,7.32956869e-01,0.00000000e+00,2.97500000e-01
