TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99998729e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01525680e-01,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.03454947e-01,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.05442721e-01,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.07425884e-01,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.09409046e-01,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.11153941e-01,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.12869386e-01,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.14485025e-01,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.15898027e-01,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.17311028e-01,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.18479629e-01,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.19575228e-01,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.20670827e-01,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.21766426e-01,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.22862025e-01,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.23726786e-01,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.24467250e-01,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.25207714e-01,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.25948177e-01,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.26688641e-01,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.27429105e-01,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.28169568e-01,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.28910032e-01,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.29650496e-01,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.30390960e-01,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.31045985e-01,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.31578064e-01,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.32110143e-01,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.32627338e-01,0.00000000e+00,2.03000000e-01
3.00000000e-12,7.33135989e-01,0.00000000e+00,2.10000000e-01
3.10000000e-12,7.33644640e-01,0.00000000e+00,2.17000000e-01
3.20000000e-12,7.34028232e-01,0.00000000e+00,2.24000000e-01
3.30000000e-12,7.34391576e-01,0.00000000e+00,2.31000000e-01
3.40000000e-12,7.34754919e-01,0.00000000e+00,2.38000000e-01
3.50000000e-12,7.35118263e-01,0.00000000e+00,2.45000000e-01
3.60000000e-12,7.35481607e-01,0.00000000e+00,2.52000000e-01
3.70000000e-12,7.35708792e-01,0.00000000e+00,2.59000000e-01
3.80000000e-12,7.35634768e-01,0.00000000e+00,2.66000000e-01
3.90000000e-12,7.35560744e-01,0.00000000e+00,2.73000000e-01
4.00000000e-12,7.35486719e-01,0.00000000e+00,2.80000000e-01
4.10000000e-12,7.35412695e-01,0.00000000e+00,2.87000000e-01
4.20000000e-12,7.35338671e-01,0.00000000e+00,2.94000000e-01
4.30000000e-12,7.34487713e-01,0.00000000e+00,3.01000000e-01
4.40000000e-12,7.33394050e-01,0.00000000e+00,3.08000000e-01
4.50000000e-12,7.32300386e-01,0.00000000e+00,3.15000000e-01
4.60000000e-12,7.31206723e-01,0.00000000e+00,3.22000000e-01
4.70000000e-12,7.30113059e-01,0.00000000e+00,3.29000000e-01
4.80000000e-12,7.28659190e-01,0.00000000e+00,3.36000000e-01
4.90000000e-12,7.25871434e-01,0.00000000e+00,3.43000000e-01
5.00000000e-12,7.23083677e-01,0.00000000e+00,3.50000000e-01
5.10000000e-12,7.20295921e-01,0.00000000e+00,3.57000000e-01
5.20000000e-12,7.17508165e-01,0.00000000e+00,3.64000000e-01
5.30000000e-12,7.14720408e-01,0.00000000e+00,3.71000000e-01
5.40000000e-12,7.10519681e-01,0.00000000e+00,3.78000000e-01
5.50000000e-12,7.05601647e-01,0.00000000e+00,3.85000000e-01
5.60000000e-12,7.00683614e-01,0.00000000e+00,3.92000000e-01
5.70000000e-12,6.95765580e-01,0.00000000e+00,3.99000000e-01
5.80000000e-12,6.90847547e-01,0.00000000e+00,4.06000000e-01
5.90000000e-12,6.84107307e-01,0.00000000e+00,4.13000000e-01
6.00000000e-12,6.76816998e-01,0.00000000e+00,4.20000000e-01
6.10000000e-12,6.69526690e-01,0.00000000e+00,4.27000000e-01
6.20000000e-12,6.62236381e-01,0.00000000e+00,4.34000000e-01
6.30000000e-12,6.53614709e-01,0.00000000e+00,4.41000000e-01
6.40000000e-12,6.43679319e-01,0.00000000e+00,4.48000000e-01
6.50000000e-12,6.33743929e-01,0.00000000e+00,4.55000000e-01
6.60000000e-12,6.23808539e-01,0.00000000e+00,4.62000000e-01
6.70000000e-12,6.11699942e-01,0.00000000e+00,4.69000000e-01
6.80000000e-12,5.98967905e-01,0.00000000e+00,4.76000000e-01
6.90000000e-12,5.86235867e-01,0.00000000e+00,4.83000000e-01
7.00000000e-12,5.72070635e-01,0.00000000e+00,4.90000000e-01
7.10000000e-12,5.56658889e-01,0.00000000e+00,4.97000000e-01
7.20000000e-12,5.41247144e-01,0.00000000e+00,5.04000000e-01
7.30000000e-12,5.24169670e-01,0.00000000e+00,5.11000000e-01
7.40000000e-12,5.06057386e-01,0.00000000e+00,5.18000000e-01
7.50000000e-12,4.87945101e-01,0.00000000e+00,5.25000000e-01
7.60000000e-12,4.67649226e-01,0.00000000e+00,5.32000000e-01
7.70000000e-12,4.46412143e-01,0.00000000e+00,5.39000000e-01
7.80000000e-12,4.25175061e-01,0.00000000e+00,5.46000000e-01
7.90000000e-12,4.01041494e-01,0.00000000e+00,5.53000000e-01
8.00000000e-12,3.76094657e-01,0.00000000e+00,5.60000000e-01
8.10000000e-12,3.50540850e-01,0.00000000e+00,5.67000000e-01
8.20000000e-12,3.21666891e-01,0.00000000e+00,5.74000000e-01
8.30000000e-12,2.92792933e-01,0.00000000e+00,5.81000000e-01
8.40000000e-12,2.62212088e-01,0.00000000e+00,5.88000000e-01
8.50000000e-12,2.31180145e-01,0.00000000e+00,5.95000000e-01
8.60000000e-12,2.01626064e-01,0.00000000e+00,6.02000000e-01
8.70000000e-12,1.72820733e-01,0.00000000e+00,6.09000000e-01
8.80000000e-12,1.46954572e-01,0.00000000e+00,6.16000000e-01
8.90000000e-12,1.23627746e-01,0.00000000e+00,6.23000000e-01
9.00000000e-12,1.04207167e-01,0.00000000e+00,6.30000000e-01
9.10000000e-12,8.71091028e-02,0.00000000e+00,6.37000000e-01
9.20000000e-12,7.39592377e-02,0.00000000e+00,6.44000000e-01
9.30000000e-12,6.33188441e-02,0.00000000e+00,6.51000000e-01
9.40000000e-12,5.44904792e-02,0.00000000e+00,6.58000000e-01
9.50000000e-12,4.75002116e-02,0.00000000e+00,6.65000000e-01
9.60000000e-12,4.22821030e-02,0.00000000e+00,6.72000000e-01
9.70000000e-12,3.79457517e-02,0.00000000e+00,6.79000000e-01
9.80000000e-12,3.44004193e-02,0.00000000e+00,6.86000000e-01
9.90000000e-12,3.17498167e-02,0.00000000e+00,6.93000000e-01
1.00000000e-11,2.94763954e-02,0.00000000e+00,7.00000000e-01
1.01000000e-11,2.41619388e-02,0.00000000e+00,7.00000000e-01
1.02000000e-11,2.00222607e-02,0.00000000e+00,7.00000000e-01
1.03000000e-11,1.68446489e-02,0.00000000e+00,7.00000000e-01
1.04000000e-11,1.46074976e-02,0.00000000e+00,7.00000000e-01
1.05000000e-11,1.24352960e-02,0.00000000e+00,7.00000000e-01
1.06000000e-11,1.11886696e-02,0.00000000e+00,7.00000000e-01
1.07000000e-11,1.00391692e-02,0.00000000e+00,7.00000000e-01
1.08000000e-11,8.88966868e-03,0.00000000e+00,7.00000000e-01
1.09000000e-11,7.74016819e-03,0.00000000e+00,7.00000000e-01
1.10000000e-11,7.13006946e-03,0.00000000e+00,7.00000000e-01
1.11000000e-11,6.61398691e-03,0.00000000e+00,7.00000000e-01
1.12000000e-11,6.09790435e-03,0.00000000e+00,7.00000000e-01
1.13000000e-11,5.58182180e-03,0.00000000e+00,7.00000000e-01
1.14000000e-11,5.23560903e-03,0.00000000e+00,7.00000000e-01
1.15000000e-11,4.93236482e-03,0.00000000e+00,7.00000000e-01
1.16000000e-11,4.62912060e-03,0.00000000e+00,7.00000000e-01
1.17000000e-11,4.32587639e-03,0.00000000e+00,7.00000000e-01
1.18000000e-11,4.11606210e-03,0.00000000e+00,7.00000000e-01
1.19000000e-11,3.93828450e-03,0.00000000e+00,7.00000000e-01
1.20000000e-11,3.76050690e-03,0.00000000e+00,7.00000000e-01
1.21000000e-11,3.58272930e-03,0.00000000e+00,7.00000000e-01
1.22000000e-11,3.40495170e-03,0.00000000e+00,7.00000000e-01
1.23000000e-11,3.22717410e-03,0.00000000e+00,7.00000000e-01
1.24000000e-11,3.04939650e-03,0.00000000e+00,7.00000000e-01
1.25000000e-11,2.87161890e-03,0.00000000e+00,7.00000000e-01
1.26000000e-11,2.74776910e-03,0.00000000e+00,7.00000000e-01
1.27000000e-11,2.65455150e-03,0.00000000e+00,7.00000000e-01
1.28000000e-11,2.56133389e-03,0.00000000e+00,7.00000000e-01
1.29000000e-11,2.46811629e-03,0.00000000e+00,7.00000000e-01
1.30000000e-11,2.37489868e-03,0.00000000e+00,7.00000000e-01
1.31000000e-11,2.28168107e-03,0.00000000e+00,7.00000000e-01
1.32000000e-11,2.18846347e-03,0.00000000e+00,7.00000000e-01
1.33000000e-11,2.09524586e-03,0.00000000e+00,7.00000000e-01
1.34000000e-11,2.02070357e-03,0.00000000e+00,7.00000000e-01
1.35000000e-11,1.96266713e-03,0.00000000e+00,7.00000000e-01
1.36000000e-11,1.90463070e-03,0.00000000e+00,7.00000000e-01
1.37000000e-11,1.84659426e-03,0.00000000e+00,7.00000000e-01
1.38000000e-11,1.78855782e-03,0.00000000e+00,7.00000000e-01
1.39000000e-11,1.73052139e-03,0.00000000e+00,7.00000000e-01
1.40000000e-11,1.67248495e-03,0.00000000e+00,7.00000000e-01
1.41000000e-11,1.61444852e-03,0.00000000e+00,7.00000000e-01
1.42000000e-11,1.56691902e-03,0.00000000e+00,7.00000000e-01
1.43000000e-11,1.53366785e-03,0.00000000e+00,7.00000000e-01
1.44000000e-11,1.50041667e-03,0.00000000e+00,7.00000000e-01
1.45000000e-11,1.46716550e-03,0.00000000e+00,7.00000000e-01
1.46000000e-11,1.43391433e-03,0.00000000e+00,7.00000000e-01
1.47000000e-11,1.40066315e-03,0.00000000e+00,7.00000000e-01
1.48000000e-11,1.36741198e-03,0.00000000e+00,7.00000000e-01
1.49000000e-11,1.33416081e-03,0.00000000e+00,7.00000000e-01
1.50000000e-11,1.30090963e-03,0.00000000e+00,7.00000000e-01
1.51000000e-11,1.26765846e-03,0.00000000e+00,7.00000000e-01
1.52000000e-11,1.23440728e-03,0.00000000e+00,7.00000000e-01
1.53000000e-11,1.20115611e-03,0.00000000e+00,7.00000000e-01
1.54000000e-11,1.16790494e-03,0.00000000e+00,7.00000000e-01
1.55000000e-11,1.13465376e-03,0.00000000e+00,7.00000000e-01
1.56000000e-11,1.10140259e-03,0.00000000e+00,7.00000000e-01
1.57000000e-11,1.06815142e-03,0.00000000e+00,7.00000000e-01
1.58000000e-11,1.03893310e-03,0.00000000e+00,7.00000000e-01
1.59000000e-11,1.02487761e-03,0.00000000e+00,7.00000000e-01
1.60000000e-11,1.01082212e-03,0.00000000e+00,7.00000000e-01
1.61000000e-11,9.96766635e-04,0.00000000e+00,7.00000000e-01
1.62000000e-11,9.82711147e-04,0.00000000e+00,7.00000000e-01
1.63000000e-11,9.68655659e-04,0.00000000e+00,7.00000000e-01
1.64000000e-11,9.54600171e-04,0.00000000e+00,7.00000000e-01
1.65000000e-11,9.40544683e-04,0.00000000e+00,7.00000000e-01
1.66000000e-11,9.26489195e-04,0.00000000e+00,7.00000000e-01
1.67000000e-11,9.12433707e-04,0.00000000e+00,7.00000000e-01
