TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99994511e-01,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01528923e-01,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.03468550e-01,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.05452406e-01,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.07416436e-01,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.09380466e-01,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.11081481e-01,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.12749988e-01,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.14314672e-01,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.15668564e-01,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.17022455e-01,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.18125116e-01,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.19152734e-01,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.20180352e-01,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.21207970e-01,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.22235588e-01,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.23002462e-01,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.23628936e-01,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.24255411e-01,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.24881885e-01,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.25508359e-01,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.26134833e-01,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.26761308e-01,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.27387782e-01,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.28014256e-01,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.28640730e-01,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.28997637e-01,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.28966631e-01,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.28935625e-01,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.28904618e-01,0.00000000e+00,2.03000000e-01
3.00000000e-12,7.28873612e-01,0.00000000e+00,2.10000000e-01
3.10000000e-12,7.28842606e-01,0.00000000e+00,2.17000000e-01
3.20000000e-12,7.28811599e-01,0.00000000e+00,2.24000000e-01
3.30000000e-12,7.28780593e-01,0.00000000e+00,2.31000000e-01
3.40000000e-12,7.28749587e-01,0.00000000e+00,2.38000000e-01
3.50000000e-12,7.28718580e-01,0.00000000e+00,2.45000000e-01
3.60000000e-12,7.28567693e-01,0.00000000e+00,2.52000000e-01
3.70000000e-12,7.27831503e-01,0.00000000e+00,2.59000000e-01
3.80000000e-12,7.26975069e-01,0.00000000e+00,2.66000000e-01
3.90000000e-12,7.25790828e-01,0.00000000e+00,2.73000000e-01
4.00000000e-12,7.24396081e-01,0.00000000e+00,2.80000000e-01
4.09758194e-12,7.23035059e-01,0.00000000e+00,2.86830736e-01
4.20000000e-12,7.20818484e-01,0.00000000e+00,2.94000000e-01
4.30000000e-12,7.18654242e-01,0.00000000e+00,3.01000000e-01
4.40000000e-12,7.16097617e-01,0.00000000e+00,3.08000000e-01
4.50000000e-12,7.13063868e-01,0.00000000e+00,3.15000000e-01
4.60000000e-12,7.10030119e-01,0.00000000e+00,3.22000000e-01
4.70000000e-12,7.06155689e-01,0.00000000e+00,3.29000000e-01
4.80000000e-12,7.02164838e-01,0.00000000e+00,3.36000000e-01
4.90000000e-12,6.97857604e-01,0.00000000e+00,3.43000000e-01
5.00000000e-12,6.92830966e-01,0.00000000e+00,3.50000000e-01
