TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,6.99994511e-01,0.00000000e+00,0.00000000e+00
1.00000000e-15,7.00052116e-01,7.00000000e-05,0.00000000e+00
3.00000000e-15,7.00167124e-01,2.10000000e-04,0.00000000e+00
7.00000000e-15,7.00396735e-01,4.90000000e-04,0.00000000e+00
1.50000000e-14,7.00853540e-01,1.05000000e-03,0.00000000e+00
3.10000000e-14,7.01757564e-01,2.17000000e-03,0.00000000e+00
6.30000000e-14,7.03527931e-01,4.41000000e-03,0.00000000e+00
1.27000000e-13,7.06923119e-01,8.89000000e-03,0.00000000e+00
2.55000000e-13,7.13170501e-01,1.78500000e-02,0.00000000e+00
5.11000000e-13,7.23773880e-01,3.57700000e-02,0.00000000e+00
7.67000000e-13,7.32249675e-01,5.36900000e-02,0.00000000e+00
1.02300000e-12,7.39045463e-01,7.16100000e-02,0.00000000e+00
1.27900000e-12,7.44518022e-01,8.95300000e-02,0.00000000e+00
1.53500000e-12,7.48949171e-01,1.07450000e-01,0.00000000e+00
2.04700000e-12,7.55572528e-01,1.43290000e-01,0.00000000e+00
3.07100000e-12,7.62099067e-01,2.14970000e-01,0.00000000e+00
3.22650317e-12,7.62201316e-01,2.25855222e-01,0.00000000e+00
3.38200635e-12,7.62127434e-01,2.36740444e-01,0.00000000e+00
3.69301270e-12,7.60510419e-01,2.58510889e-01,0.00000000e+00
4.00401905e-12,7.56368773e-01,2.80281333e-01,0.00000000e+00
4.31502540e-12,7.48873881e-01,3.02051778e-01,0.00000000e+00
4.62603175e-12,7.37160732e-01,3.23822222e-01,0.00000000e+00
4.93703810e-12,7.20237161e-01,3.45592667e-01,0.00000000e+00
5.24804445e-12,6.96585643e-01,3.67363111e-01,0.00000000e+00
5.55905080e-12,6.63033904e-01,3.89133556e-01,0.00000000e+00
5.60536951e-12,6.56738936e-01,3.92375866e-01,0.00000000e+00
5.65168822e-12,6.50171463e-01,3.95618175e-01,0.00000000e+00
5.74432564e-12,6.35643535e-01,4.02102795e-01,0.00000000e+00
5.83696306e-12,6.19028933e-01,4.08587414e-01,0.00000000e+00
5.92960048e-12,6.00142637e-01,4.15072034e-01,0.00000000e+00
6.02223790e-12,5.78977495e-01,4.21556653e-01,0.00000000e+00
6.11487532e-12,5.55659123e-01,4.28041273e-01,0.00000000e+00
6.20751274e-12,5.30350774e-01,4.34525892e-01,0.00000000e+00
6.30015017e-12,5.03202268e-01,4.41010512e-01,0.00000000e+00
6.39278759e-12,4.74345186e-01,4.47495131e-01,0.00000000e+00
6.48542501e-12,4.43904853e-01,4.53979751e-01,0.00000000e+00
6.57806243e-12,4.12015911e-01,4.60464370e-01,0.00000000e+00
6.67069985e-12,3.78841089e-01,4.66948989e-01,0.00000000e+00
6.76333727e-12,3.44597544e-01,4.73433609e-01,0.00000000e+00
6.94861211e-12,2.74468868e-01,4.86402848e-01,0.00000000e+00
7.13388695e-12,2.06307081e-01,4.99372087e-01,0.00000000e+00
7.31916180e-12,1.47124797e-01,5.12341326e-01,0.00000000e+00
7.46911712e-12,1.09026026e-01,5.22838198e-01,0.00000000e+00
7.60169692e-12,8.31406974e-02,5.32118785e-01,0.00000000e+00
7.73427673e-12,6.38021043e-02,5.41399371e-01,0.00000000e+00
7.86685654e-12,4.98148832e-02,5.50679958e-01,0.00000000e+00
7.99943635e-12,3.99332488e-02,5.59960544e-01,0.00000000e+00
8.13201615e-12,3.30611435e-02,5.69241131e-01,0.00000000e+00
8.26459596e-12,2.83267410e-02,5.78521717e-01,0.00000000e+00
8.39717577e-12,2.50785419e-02,5.87802304e-01,0.00000000e+00
8.66233538e-12,2.12168933e-02,6.06363477e-01,0.00000000e+00
9.19265461e-12,1.82728146e-02,6.43485823e-01,0.00000000e+00
9.72297384e-12,1.74772518e-02,6.80608168e-01,0.00000000e+00
1.00000000e-11,1.71918812e-02,7.00000000e-01,0.00000000e+00
1.00559450e-11,1.42349787e-02,7.00000000e-01,0.00000000e+00
1.01014804e-11,1.21754826e-02,7.00000000e-01,0.00000000e+00
1.01470157e-11,1.02767282e-02,7.00000000e-01,0.00000000e+00
1.02380865e-11,7.30197821e-03,7.00000000e-01,0.00000000e+00
1.03291573e-11,5.18725011e-03,7.00000000e-01,0.00000000e+00
1.05112989e-11,2.56224974e-03,7.00000000e-01,0.00000000e+00
1.08755820e-11,4.92823787e-04,7.00000000e-01,0.00000000e+00
1.16041482e-11,-7.32234778e-05,7.00000000e-01,0.00000000e+00
1.23327144e-11,1.23543741e-05,7.00000000e-01,0.00000000e+00
1.30612806e-11,-5.91729111e-07,7.00000000e-01,0.00000000e+00
1.45184131e-11,1.89405886e-06,7.00000000e-01,0.00000000e+00
1.74326779e-11,5.68788415e-07,7.00000000e-01,0.00000000e+00
2.32612077e-11,1.55859791e-06,7.00000000e-01,0.00000000e+00
3.32612077e-11,7.05803776e-07,7.00000000e-01,0.00000000e+00
4.32612077e-11,1.47165974e-06,7.00000000e-01,0.00000000e+00
5.32612077e-11,7.83878977e-07,7.00000000e-01,0.00000000e+00
6.32612077e-11,1.40154389e-06,7.00000000e-01,0.00000000e+00
7.32612077e-11,8.46846831e-07,7.00000000e-01,0.00000000e+00
8.32612077e-11,1.34499527e-06,7.00000000e-01,0.00000000e+00
9.32612077e-11,8.97630575e-07,7.00000000e-01,0.00000000e+00
1.00000000e-10,1.28971671e-06,7.00000000e-01,0.00000000e+00
1.01000000e-10,1.14749317e-06,7.00000000e-01,0.00000000e+00
1.03000000e-10,1.11382029e-06,7.00000000e-01,0.00000000e+00
1.07000000e-10,1.10584794e-06,7.00000000e-01,0.00000000e+00
1.10000000e-10,1.11170176e-06,7.00000000e-01,0.00000000e+00
1.10800000e-10,1.10990277e-06,7.00000000e-01,0.00000000e+00
1.12400000e-10,1.10938566e-06,7.00000000e-01,0.00000000e+00
1.15600000e-10,1.10923702e-06,7.00000000e-01,0.00000000e+00
1.22000000e-10,1.10935113e-06,7.00000000e-01,0.00000000e+00
1.34800000e-10,1.10925081e-06,7.00000000e-01,0.00000000e+00
1.60400000e-10,1.10934495e-06,7.00000000e-01,0.00000000e+00
2.10400000e-10,1.10925376e-06,7.00000000e-01,0.00000000e+00
2.60400000e-10,1.10934301e-06,7.00000000e-01,0.00000000e+00
3.10000000e-10,1.10925567e-06,7.00000000e-01,0.00000000e+00
3.10062500e-10,-3.17243740e-03,6.95625000e-01,0.00000000e+00
3.10125000e-10,-5.74900929e-03,6.91250000e-01,0.00000000e+00
3.10187500e-10,-8.05877268e-03,6.86875000e-01,0.00000000e+00
3.10312500e-10,-1.13912673e-02,6.78125000e-01,0.00000000e+00
3.10437500e-10,-1.35020373e-02,6.69375000e-01,0.00000000e+00
3.10562500e-10,-1.48590063e-02,6.60625000e-01,0.00000000e+00
3.10812500e-10,-1.64008358e-02,6.43125000e-01,0.00000000e+00
3.11312500e-10,-1.76542474e-02,6.08125000e-01,0.00000000e+00
3.11812500e-10,-1.82834890e-02,5.73125000e-01,0.00000000e+00
3.12812500e-10,-1.95878046e-02,5.03125000e-01,0.00000000e+00
3.13812500e-10,-1.92092118e-02,4.33125000e-01,0.00000000e+00
3.14812500e-10,-1.11214387e-02,3.63125000e-01,0.00000000e+00
3.14948188e-10,-8.95317622e-03,3.53626842e-01,0.00000000e+00
3.15083876e-10,-6.56474402e-03,3.44128684e-01,0.00000000e+00
3.15355252e-10,-5.25984949e-04,3.25132368e-01,0.00000000e+00
3.15626628e-10,7.73499253e-03,3.06136053e-01,0.00000000e+00
3.15898004e-10,1.93861524e-02,2.87139737e-01,0.00000000e+00
3.16169380e-10,3.65110795e-02,2.68143421e-01,0.00000000e+00
3.16440756e-10,6.17886155e-02,2.49147105e-01,0.00000000e+00
3.16684994e-10,9.23094063e-02,2.32050421e-01,0.00000000e+00
3.16904809e-10,1.25428488e-01,2.16663405e-01,0.00000000e+00
3.17124623e-10,1.63098011e-01,2.01276389e-01,0.00000000e+00
3.17344438e-10,2.04601904e-01,1.85889373e-01,0.00000000e+00
3.17564252e-10,2.49156587e-01,1.70502358e-01,0.00000000e+00
3.17784067e-10,2.95718663e-01,1.55115342e-01,0.00000000e+00
3.18003881e-10,3.42712789e-01,1.39728326e-01,0.00000000e+00
3.18223696e-10,3.87864289e-01,1.24341310e-01,0.00000000e+00
3.18443510e-10,4.28683238e-01,1.08954294e-01,0.00000000e+00
3.18663325e-10,4.63602827e-01,9.35672784e-02,0.00000000e+00
3.18883139e-10,4.92491279e-01,7.81802626e-02,0.00000000e+00
3.19102954e-10,5.16127297e-01,6.27932468e-02,0.00000000e+00
3.19322768e-10,5.35533523e-01,4.74062310e-02,0.00000000e+00
3.19542583e-10,5.51606273e-01,3.20192152e-02,0.00000000e+00
3.19762397e-10,5.65027764e-01,1.66321994e-02,0.00000000e+00
3.19982212e-10,5.76293992e-01,1.24518354e-03,0.00000000e+00
3.20000000e-10,5.77121519e-01,-1.22124533e-15,0.00000000e+00
3.20017788e-10,5.78942052e-01,0.00000000e+00,0.00000000e+00
3.20032575e-10,5.80438018e-01,0.00000000e+00,0.00000000e+00
3.20062148e-10,5.83395050e-01,0.00000000e+00,0.00000000e+00
3.20121295e-10,5.89105502e-01,0.00000000e+00,0.00000000e+00
3.20239587e-10,5.99747059e-01,0.00000000e+00,0.00000000e+00
3.20357880e-10,6.09409283e-01,0.00000000e+00,0.00000000e+00
3.20476173e-10,6.18171600e-01,0.00000000e+00,0.00000000e+00
3.20712759e-10,6.33328563e-01,0.00000000e+00,0.00000000e+00
3.20949344e-10,6.45735872e-01,0.00000000e+00,0.00000000e+00
3.21185930e-10,6.55872448e-01,0.00000000e+00,0.00000000e+00
3.21422516e-10,6.64140689e-01,0.00000000e+00,0.00000000e+00
3.21659101e-10,6.70875980e-01,0.00000000e+00,0.00000000e+00
3.21895687e-10,6.76356695e-01,0.00000000e+00,0.00000000e+00
3.22132272e-10,6.80812742e-01,0.00000000e+00,0.00000000e+00
3.22605444e-10,6.87430305e-01,0.00000000e+00,0.00000000e+00
3.23551786e-10,6.94833005e-01,0.00000000e+00,0.00000000e+00
3.24498129e-10,6.97878893e-01,0.00000000e+00,0.00000000e+00
3.25444471e-10,6.99128261e-01,0.00000000e+00,0.00000000e+00
3.27337156e-10,6.99919465e-01,0.00000000e+00,0.00000000e+00
3.29229841e-10,6.99987774e-01,0.00000000e+00,0.00000000e+00
3.33015212e-10,6.99997108e-01,0.00000000e+00,0.00000000e+00
3.36800582e-10,6.99993712e-01,0.00000000e+00,0.00000000e+00
3.44371322e-10,6.99995024e-01,0.00000000e+00,0.00000000e+00
3.59512802e-10,6.99994089e-01,0.00000000e+00,0.00000000e+00
3.89795763e-10,6.99994897e-01,0.00000000e+00,0.00000000e+00
4.39795763e-10,6.99994145e-01,0.00000000e+00,0.00000000e+00
4.89795763e-10,6.99994860e-01,0.00000000e+00,0.00000000e+00
5.00000000e-10,6.99994234e-01,0.00000000e+00,0.00000000e+00
5.00062500e-10,7.03409766e-01,4.37500000e-03,0.00000000e+00
5.00125000e-10,7.06647032e-01,8.75000000e-03,0.00000000e+00
5.00187500e-10,7.09797555e-01,1.31250000e-02,0.00000000e+00
5.00312500e-10,7.15606643e-01,2.18750000e-02,0.00000000e+00
5.00562500e-10,7.25506120e-01,3.93750000e-02,0.00000000e+00
5.00812500e-10,7.33465256e-01,5.68750000e-02,0.00000000e+00
5.01062500e-10,7.39884270e-01,7.43750000e-02,0.00000000e+00
5.01312500e-10,7.45083649e-01,9.18750000e-02,0.00000000e+00
5.01812500e-10,7.52857948e-01,1.26875000e-01,0.00000000e+00
5.02812500e-10,7.61422940e-01,1.96875000e-01,0.00000000e+00
5.03812500e-10,7.58383829e-01,2.66875000e-01,0.00000000e+00
5.03926235e-10,7.56730433e-01,2.74836440e-01,0.00000000e+00
5.04039970e-10,7.54855920e-01,2.82797879e-01,0.00000000e+00
5.04267439e-10,7.49602701e-01,2.98720759e-01,0.00000000e+00
5.04494909e-10,7.42123210e-01,3.14643638e-01,0.00000000e+00
5.04722379e-10,7.32077283e-01,3.30566517e-01,0.00000000e+00
5.04949849e-10,7.19035616e-01,3.46489397e-01,0.00000000e+00
5.05177318e-10,7.02374136e-01,3.62412276e-01,0.00000000e+00
5.05404788e-10,6.81015123e-01,3.78335155e-01,0.00000000e+00
5.05632258e-10,6.52890066e-01,3.94258035e-01,0.00000000e+00
5.05836980e-10,6.18819056e-01,4.08588626e-01,0.00000000e+00
5.06021231e-10,5.78979890e-01,4.21486158e-01,0.00000000e+00
5.06187056e-10,5.35870445e-01,4.33093937e-01,0.00000000e+00
5.06352882e-10,4.86764304e-01,4.44701716e-01,0.00000000e+00
5.06518707e-10,4.32421015e-01,4.56309495e-01,0.00000000e+00
5.06684532e-10,3.73645929e-01,4.67917274e-01,0.00000000e+00
5.06850358e-10,3.11667192e-01,4.79525053e-01,0.00000000e+00
5.07016183e-10,2.48854737e-01,4.91132832e-01,0.00000000e+00
5.07182009e-10,1.89573802e-01,5.02740612e-01,0.00000000e+00
5.07347834e-10,1.38865365e-01,5.14348391e-01,0.00000000e+00
5.07489455e-10,1.04401932e-01,5.24261876e-01,0.00000000e+00
5.07616914e-10,8.04704734e-02,5.33184014e-01,0.00000000e+00
