TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99997151e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.04539839e-01,0.00000000e+00,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.08858156e-01,0.00000000e+00,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.12925068e-01,0.00000000e+00,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.16756392e-01,0.00000000e+00,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.20587716e-01,0.00000000e+00,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.23992969e-01,0.00000000e+00,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.27345560e-01,0.00000000e+00,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.30579243e-01,0.00000000e+00,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.33571505e-01,0.00000000e+00,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.36563767e-01,0.00000000e+00,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.39243249e-01,0.00000000e+00,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.41829304e-01,0.00000000e+00,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.44415359e-01,0.00000000e+00,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.47001414e-01,0.00000000e+00,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.49587469e-01,0.00000000e+00,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.51884917e-01,0.00000000e+00,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.54026962e-01,0.00000000e+00,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.56169008e-01,0.00000000e+00,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.58311053e-01,0.00000000e+00,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.60453098e-01,0.00000000e+00,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.62407484e-01,0.00000000e+00,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.64195455e-01,0.00000000e+00,0.00000000e+00,1.54000000e-01
2.30000000e-12,7.65983426e-01,0.00000000e+00,0.00000000e+00,1.61000000e-01
2.40000000e-12,7.67771396e-01,0.00000000e+00,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.69559367e-01,0.00000000e+00,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.71222475e-01,0.00000000e+00,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.72705902e-01,0.00000000e+00,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.74189328e-01,0.00000000e+00,0.00000000e+00,1.96000000e-01
2.90000000e-12,7.75672755e-01,0.00000000e+00,0.00000000e+00,2.03000000e-01
