TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99987651e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01240870e-01,0.00000000e+00,7.00000000e-03,0.00000000e+00
2.00000000e-13,7.02926449e-01,0.00000000e+00,1.40000000e-02,0.00000000e+00
3.00000000e-13,7.04835765e-01,0.00000000e+00,2.10000000e-02,0.00000000e+00
4.00000000e-13,7.06913097e-01,0.00000000e+00,2.80000000e-02,0.00000000e+00
5.00000000e-13,7.08990429e-01,0.00000000e+00,3.50000000e-02,0.00000000e+00
6.00000000e-13,7.11100089e-01,0.00000000e+00,4.20000000e-02,0.00000000e+00
7.00000000e-13,7.13213746e-01,0.00000000e+00,4.90000000e-02,0.00000000e+00
8.00000000e-13,7.15327402e-01,0.00000000e+00,5.60000000e-02,0.00000000e+00
9.00000000e-13,7.17441059e-01,0.00000000e+00,6.30000000e-02,0.00000000e+00
1.00000000e-12,7.19554715e-01,0.00000000e+00,7.00000000e-02,0.00000000e+00
1.10000000e-12,7.21459401e-01,0.00000000e+00,7.70000000e-02,0.00000000e+00
1.20000000e-12,7.23301667e-01,0.00000000e+00,8.40000000e-02,0.00000000e+00
1.30000000e-12,7.25143934e-01,0.00000000e+00,9.10000000e-02,0.00000000e+00
1.40000000e-12,7.26986200e-01,0.00000000e+00,9.80000000e-02,0.00000000e+00
1.50000000e-12,7.28828467e-01,0.00000000e+00,1.05000000e-01,0.00000000e+00
1.60000000e-12,7.30453705e-01,0.00000000e+00,1.12000000e-01,0.00000000e+00
1.70000000e-12,7.31962082e-01,0.00000000e+00,1.19000000e-01,0.00000000e+00
1.80000000e-12,7.33470458e-01,0.00000000e+00,1.26000000e-01,0.00000000e+00
1.90000000e-12,7.34978835e-01,0.00000000e+00,1.33000000e-01,0.00000000e+00
2.00000000e-12,7.36487212e-01,0.00000000e+00,1.40000000e-01,0.00000000e+00
2.10000000e-12,7.37838546e-01,0.00000000e+00,1.47000000e-01,0.00000000e+00
2.20000000e-12,7.39050616e-01,0.00000000e+00,1.54000000e-01,0.00000000e+00
2.30000000e-12,7.40262686e-01,0.00000000e+00,1.61000000e-01,0.00000000e+00
2.40000000e-12,7.41474756e-01,0.00000000e+00,1.68000000e-01,0.00000000e+00
2.50000000e-12,7.42686825e-01,0.00000000e+00,1.75000000e-01,0.00000000e+00
2.60000000e-12,7.43760124e-01,0.00000000e+00,1.82000000e-01,0.00000000e+00
2.70000000e-12,7.44633726e-01,0.00000000e+00,1.89000000e-01,0.00000000e+00
2.80000000e-12,7.45507329e-01,0.00000000e+00,1.96000000e-01,0.00000000e+00
2.90000000e-12,7.46380932e-01,0.00000000e+00,2.03000000e-01,0.00000000e+00
3.00000000e-12,7.47254535e-01,0.00000000e+00,2.10000000e-01,0.00000000e+00
3.10000000e-12,7.47967123e-01,0.00000000e+00,2.17000000e-01,0.00000000e+00
3.20000000e-12,7.48285503e-01,0.00000000e+00,2.24000000e-01,0.00000000e+00
3.30000000e-12,7.48603884e-01,0.00000000e+00,2.31000000e-01,0.00000000e+00
3.40000000e-12,7.48922264e-01,0.00000000e+00,2.38000000e-01,0.00000000e+00
3.50000000e-12,7.49240645e-01,0.00000000e+00,2.45000000e-01,0.00000000e+00
3.60000000e-12,7.49392312e-01,0.00000000e+00,2.52000000e-01,0.00000000e+00
3.70000000e-12,7.48730025e-01,0.00000000e+00,2.59000000e-01,0.00000000e+00
3.80000000e-12,7.48067738e-01,0.00000000e+00,2.66000000e-01,0.00000000e+00
3.90000000e-12,7.47405451e-01,0.00000000e+00,2.73000000e-01,0.00000000e+00
4.00000000e-12,7.46743164e-01,0.00000000e+00,2.80000000e-01,0.00000000e+00
4.10000000e-12,7.46008091e-01,0.00000000e+00,2.87000000e-01,0.00000000e+00
4.20000000e-12,7.43890074e-01,0.00000000e+00,2.94000000e-01,0.00000000e+00
4.30000000e-12,7.41772056e-01,0.00000000e+00,3.01000000e-01,0.00000000e+00
4.40000000e-12,7.39654039e-01,0.00000000e+00,3.08000000e-01,0.00000000e+00
4.50000000e-12,7.37536022e-01,0.00000000e+00,3.15000000e-01,0.00000000e+00
4.60000000e-12,7.35418004e-01,0.00000000e+00,3.22000000e-01,0.00000000e+00
4.70000000e-12,7.31707322e-01,0.00000000e+00,3.29000000e-01,0.00000000e+00
4.80000000e-12,7.27876761e-01,0.00000000e+00,3.36000000e-01,0.00000000e+00
4.90000000e-12,7.24046200e-01,0.00000000e+00,3.43000000e-01,0.00000000e+00
