TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99994950e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.01035897e-01,7.00000000e-03,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.01908239e-01,1.40000000e-02,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.02693918e-01,2.10000000e-02,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.03416001e-01,2.80000000e-02,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.04138085e-01,3.50000000e-02,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.04836820e-01,4.20000000e-02,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.05532669e-01,4.90000000e-02,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.06228518e-01,5.60000000e-02,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.06924368e-01,6.30000000e-02,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.07620217e-01,7.00000000e-02,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.08326748e-01,7.70000000e-02,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.09036469e-01,8.40000000e-02,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.09746190e-01,9.10000000e-02,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.10455911e-01,9.80000000e-02,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.11165633e-01,1.05000000e-01,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.11840416e-01,1.12000000e-01,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.12496386e-01,1.19000000e-01,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.13152355e-01,1.26000000e-01,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.13808325e-01,1.33000000e-01,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.14464295e-01,1.40000000e-01,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.15120265e-01,1.47000000e-01,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.15776235e-01,1.54000000e-01,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.16432205e-01,1.61000000e-01,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.17088175e-01,1.68000000e-01,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.17744145e-01,1.75000000e-01,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.18327421e-01,1.82000000e-01,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.18806088e-01,1.89000000e-01,0.00000000e+00,0.00000000e+00
2.80000000e-12,7.19284755e-01,1.96000000e-01,0.00000000e+00,0.00000000e+00
2.90000000e-12,7.19763422e-01,2.03000000e-01,0.00000000e+00,0.00000000e+00
3.00000000e-12,7.20242089e-01,2.10000000e-01,0.00000000e+00,0.00000000e+00
3.10000000e-12,7.20720756e-01,2.17000000e-01,0.00000000e+00,0.00000000e+00
3.20000000e-12,7.21199423e-01,2.24000000e-01,0.00000000e+00,0.00000000e+00
3.30000000e-12,7.21678090e-01,2.31000000e-01,0.00000000e+00,0.00000000e+00
3.40000000e-12,7.22156757e-01,2.38000000e-01,0.00000000e+00,0.00000000e+00
3.50000000e-12,7.22635424e-01,2.45000000e-01,0.00000000e+00,0.00000000e+00
3.60000000e-12,7.22981631e-01,2.52000000e-01,0.00000000e+00,0.00000000e+00
3.70000000e-12,7.22681123e-01,2.59000000e-01,0.00000000e+00,0.00000000e+00
3.80000000e-12,7.22380614e-01,2.66000000e-01,0.00000000e+00,0.00000000e+00
3.90000000e-12,7.22080106e-01,2.73000000e-01,0.00000000e+00,0.00000000e+00
4.00000000e-12,7.21779598e-01,2.80000000e-01,0.00000000e+00,0.00000000e+00
4.10000000e-12,7.21479090e-01,2.87000000e-01,0.00000000e+00,0.00000000e+00
4.20000000e-12,7.21178581e-01,2.94000000e-01,0.00000000e+00,0.00000000e+00
4.30000000e-12,7.20878073e-01,3.01000000e-01,0.00000000e+00,0.00000000e+00
4.40000000e-12,7.20577565e-01,3.08000000e-01,0.00000000e+00,0.00000000e+00
4.50000000e-12,7.20277057e-01,3.15000000e-01,0.00000000e+00,0.00000000e+00
4.60000000e-12,7.19976548e-01,3.22000000e-01,0.00000000e+00,0.00000000e+00
4.70000000e-12,7.18726202e-01,3.29000000e-01,0.00000000e+00,0.00000000e+00
4.80000000e-12,7.17317146e-01,3.36000000e-01,0.00000000e+00,0.00000000e+00
4.90000000e-12,7.15788638e-01,3.43000000e-01,0.00000000e+00,0.00000000e+00
5.00000000e-12,7.13665280e-01,3.50000000e-01,0.00000000e+00,0.00000000e+00
5.10000000e-12,7.11541922e-01,3.57000000e-01,0.00000000e+00,0.00000000e+00
5.20000000e-12,7.09278334e-01,3.64000000e-01,0.00000000e+00,0.00000000e+00
5.30000000e-12,7.06272246e-01,3.71000000e-01,0.00000000e+00,0.00000000e+00
5.40000000e-12,7.03266157e-01,3.78000000e-01,0.00000000e+00,0.00000000e+00
5.50000000e-12,7.00003868e-01,3.85000000e-01,0.00000000e+00,0.00000000e+00
5.60000000e-12,6.96060310e-01,3.92000000e-01,0.00000000e+00,0.00000000e+00
5.70000000e-12,6.92116753e-01,3.99000000e-01,0.00000000e+00,0.00000000e+00
5.80000000e-12,6.87795675e-01,4.06000000e-01,0.00000000e+00,0.00000000e+00
5.90000000e-12,6.82878426e-01,4.13000000e-01,0.00000000e+00,0.00000000e+00
6.00000000e-12,6.77961177e-01,4.20000000e-01,0.00000000e+00,0.00000000e+00
6.10000000e-12,6.72541879e-01,4.27000000e-01,0.00000000e+00,0.00000000e+00
6.20000000e-12,6.66624832e-01,4.34000000e-01,0.00000000e+00,0.00000000e+00
6.30000000e-12,6.60707785e-01,4.41000000e-01,0.00000000e+00,0.00000000e+00
6.40000000e-12,6.54159250e-01,4.48000000e-01,0.00000000e+00,0.00000000e+00
6.50000000e-12,6.47218025e-01,4.55000000e-01,0.00000000e+00,0.00000000e+00
6.60000000e-12,6.40276799e-01,4.62000000e-01,0.00000000e+00,0.00000000e+00
6.70000000e-12,6.32564043e-01,4.69000000e-01,0.00000000e+00,0.00000000e+00
6.80000000e-12,6.24567387e-01,4.76000000e-01,0.00000000e+00,0.00000000e+00
6.90000000e-12,6.16570731e-01,4.83000000e-01,0.00000000e+00,0.00000000e+00
7.00000000e-12,6.07643379e-01,4.90000000e-01,0.00000000e+00,0.00000000e+00
7.10000000e-12,5.98545881e-01,4.97000000e-01,0.00000000e+00,0.00000000e+00
7.20000000e-12,5.89448383e-01,5.04000000e-01,0.00000000e+00,0.00000000e+00
7.30000000e-12,5.79233332e-01,5.11000000e-01,0.00000000e+00,0.00000000e+00
7.40000000e-12,5.68971560e-01,5.18000000e-01,0.00000000e+00,0.00000000e+00
7.50000000e-12,5.58616799e-01,5.25000000e-01,0.00000000e+00,0.00000000e+00
7.60000000e-12,5.47103514e-01,5.32000000e-01,0.00000000e+00,0.00000000e+00
7.70000000e-12,5.35590229e-01,5.39000000e-01,0.00000000e+00,0.00000000e+00
7.80000000e-12,5.23819397e-01,5.46000000e-01,0.00000000e+00,0.00000000e+00
7.90000000e-12,5.10941487e-01,5.53000000e-01,0.00000000e+00,0.00000000e+00
8.00000000e-12,4.98063576e-01,5.60000000e-01,0.00000000e+00,0.00000000e+00
