TIME,V(OUT),V(IN1),V(IN2),V(IN3),V(IN4)
0.00000000e+00,6.99994950e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.03863161e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.00000000e-03
2.00000000e-13,7.07644344e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40000000e-02
3.00000000e-13,7.11267903e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.10000000e-02
4.00000000e-13,7.14734765e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.80000000e-02
5.00000000e-13,7.18201627e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.50000000e-02
6.00000000e-13,7.21350602e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.20000000e-02
7.00000000e-13,7.24460288e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.90000000e-02
8.00000000e-13,7.27444025e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.60000000e-02
9.00000000e-13,7.30172049e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.30000000e-02
1.00000000e-12,7.32900072e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.00000000e-02
1.10000000e-12,7.35628096e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.70000000e-02
1.20000000e-12,7.38356120e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.40000000e-02
1.30000000e-12,7.41006028e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.10000000e-02
1.40000000e-12,7.43362073e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.80000000e-02
1.50000000e-12,7.45718118e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.05000000e-01
1.60000000e-12,7.48074163e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.12000000e-01
1.70000000e-12,7.50430208e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.19000000e-01
1.80000000e-12,7.52762091e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.26000000e-01
1.90000000e-12,7.54849663e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.33000000e-01
2.00000000e-12,7.56937234e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40000000e-01
2.10000000e-12,7.59024806e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.47000000e-01
2.20000000e-12,7.61112377e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.54000000e-01
2.30300000e-12,7.63262576e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.61210000e-01
2.40000000e-12,7.64946873e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.68000000e-01
2.50000000e-12,7.66683261e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.75000000e-01
2.60000000e-12,7.68419650e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.82000000e-01
2.70000000e-12,7.70156038e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.89000000e-01
2.80000000e-12,7.71892427e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.96000000e-01
