TIME,V(OUT),V(IN1),V(IN2),V(IN3)
0.00000000e+00,6.99978046e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-13,7.03852993e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-13,7.07631639e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-13,7.11243505e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-13,7.14690560e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-13,7.18137614e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-13,7.21256364e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-13,7.24334536e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-13,7.27318082e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-13,7.30109508e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-12,7.32900934e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-12,7.35455639e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-12,7.37939635e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-12,7.40423631e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-12,7.42907627e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-12,7.45391623e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-12,7.47664213e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-12,7.49822968e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-12,7.51981724e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-12,7.54140480e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-12,7.56299236e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-12,7.58309640e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-12,7.60188487e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-12,7.62067335e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-12,7.63946182e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-12,7.65825030e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-12,7.67565994e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-12,7.69108542e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00
