TIME,V(OUT),V(IN1),V(IN2)
0.00000000e+00,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.00000000e-17,8.99966052e-01,0.00000000e+00,0.00000000e+00
3.00000000e-17,8.99966052e-01,0.00000000e+00,0.00000000e+00
7.00000000e-17,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.50000000e-16,8.99966052e-01,0.00000000e+00,0.00000000e+00
3.10000000e-16,8.99966052e-01,0.00000000e+00,0.00000000e+00
6.30000000e-16,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.27000000e-15,8.99966052e-01,0.00000000e+00,0.00000000e+00
2.55000000e-15,8.99966052e-01,0.00000000e+00,0.00000000e+00
5.11000000e-15,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.02300000e-14,8.99966052e-01,0.00000000e+00,0.00000000e+00
2.04700000e-14,8.99966052e-01,0.00000000e+00,0.00000000e+00
4.09500000e-14,8.99966052e-01,0.00000000e+00,0.00000000e+00
8.19100000e-14,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.63830000e-13,8.99966052e-01,0.00000000e+00,0.00000000e+00
3.27670000e-13,8.99966052e-01,0.00000000e+00,0.00000000e+00
6.55350000e-13,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.31071000e-12,8.99966052e-01,0.00000000e+00,0.00000000e+00
2.62143000e-12,8.99966052e-01,0.00000000e+00,0.00000000e+00
5.24287000e-12,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
2.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
3.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
4.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
5.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
6.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
7.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
8.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
9.04857500e-11,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.00000000e-10,8.99966052e-01,0.00000000e+00,0.00000000e+00
1.00062500e-10,9.02324121e-01,5.62500000e-03,0.00000000e+00
1.00125000e-10,9.04613259e-01,1.12500000e-02,0.00000000e+00
1.00250000e-10,9.09059767e-01,2.25000000e-02,0.00000000e+00
1.00500000e-10,9.17230679e-01,4.50000000e-02,0.00000000e+00
1.01000000e-10,9.31146114e-01,9.00000000e-02,0.00000000e+00
1.02000000e-10,9.51731759e-01,1.80000000e-01,0.00000000e+00
1.03000000e-10,9.64211009e-01,2.70000000e-01,0.00000000e+00
1.04000000e-10,9.65219790e-01,3.60000000e-01,0.00000000e+00
1.05000000e-10,9.41809659e-01,4.50000000e-01,0.00000000e+00
1.05900000e-10,8.81064916e-01,5.31000000e-01,0.00000000e+00
1.06644885e-10,7.98964344e-01,5.98039615e-01,0.00000000e+00
1.07315281e-10,7.01073088e-01,6.58375268e-01,0.00000000e+00
1.07985677e-10,5.80572411e-01,7.18710922e-01,0.00000000e+00
1.08656073e-10,4.39208954e-01,7.79046575e-01,0.00000000e+00
1.09326469e-10,2.87107705e-01,8.39382228e-01,0.00000000e+00
1.10000000e-10,1.56307853e-01,9.00000000e-01,0.00000000e+00
1.10052099e-10,1.47370664e-01,9.00000000e-01,4.68889748e-03
1.10094837e-10,1.40367155e-01,9.00000000e-01,8.53532581e-03
1.10180313e-10,1.27020399e-01,9.00000000e-01,1.62281825e-02
1.10351266e-10,1.03925102e-01,9.00000000e-01,3.16138958e-02
1.10522218e-10,8.51464474e-02,9.00000000e-01,4.69996091e-02
1.10693170e-10,7.00154073e-02,9.00000000e-01,6.23853224e-02
1.11035075e-10,4.79952293e-02,9.00000000e-01,9.31567490e-02
1.11718884e-10,2.42249650e-02,9.00000000e-01,1.54699602e-01
1.12402694e-10,1.47955538e-02,9.00000000e-01,2.16242455e-01
1.13086503e-10,1.10620970e-02,9.00000000e-01,2.77785309e-01
1.14454122e-10,8.69104807e-03,9.00000000e-01,4.00871015e-01
1.15821741e-10,7.90656362e-03,9.00000000e-01,5.23956722e-01
1.17189360e-10,7.53686321e-03,9.00000000e-01,6.47042428e-01
1.19924598e-10,6.91231820e-03,9.00000000e-01,8.93213841e-01
1.20000000e-10,6.91280188e-03,9.00000000e-01,9.00000000e-01
1.20075402e-10,6.01983534e-03,9.00000000e-01,9.00000000e-01
1.20226205e-10,4.68350030e-03,9.00000000e-01,9.00000000e-01
1.20527812e-10,2.67705771e-03,9.00000000e-01,9.00000000e-01
1.21131027e-10,1.04960044e-03,9.00000000e-01,9.00000000e-01
1.22337455e-10,5.43730499e-04,9.00000000e-01,9.00000000e-01
1.23543883e-10,5.78729919e-04,9.00000000e-01,9.00000000e-01
1.25956740e-10,5.15500891e-04,9.00000000e-01,9.00000000e-01
1.30782453e-10,4.40777237e-04,9.00000000e-01,9.00000000e-01
1.40433879e-10,3.30788386e-04,9.00000000e-01,9.00000000e-01
1.59736732e-10,2.23935480e-04,9.00000000e-01,9.00000000e-01
1.98342438e-10,1.29439709e-04,9.00000000e-01,9.00000000e-01
2.48342438e-10,8.71968721e-05,9.00000000e-01,9.00000000e-01
2.98342438e-10,6.18169806e-05,9.00000000e-01,9.00000000e-01
3.48342438e-10,5.19304110e-05,9.00000000e-01,9.00000000e-01
3.98342438e-10,4.02318382e-05,9.00000000e-01,9.00000000e-01
4.20000000e-10,4.02333195e-05,9.00000000e-01,9.00000000e-01
4.20062500e-10,-8.74781395e-04,9.00000000e-01,8.94375000e-01
4.20125000e-10,-1.66025066e-03,9.00000000e-01,8.88750000e-01
4.20250000e-10,-3.00036194e-03,9.00000000e-01,8.77500000e-01
4.20500000e-10,-4.66552819e-03,9.00000000e-01,8.55000000e-01
4.21000000e-10,-6.02715802e-03,9.00000000e-01,8.10000000e-01
4.22000000e-10,-6.62340546e-03,9.00000000e-01,7.20000000e-01
4.23000000e-10,-6.95521266e-03,9.00000000e-01,6.30000000e-01
4.25000000e-10,-7.88311179e-03,9.00000000e-01,4.50000000e-01
4.27000000e-10,-8.15194468e-03,9.00000000e-01,2.70000000e-01
4.28800000e-10,-8.23033620e-03,9.00000000e-01,1.08000000e-01
4.30000000e-10,-7.61322066e-03,9.00000000e-01,-1.55431223e-15
4.30162000e-10,-6.19485047e-03,9.00000000e-01,0.00000000e+00
4.30324000e-10,-5.04204441e-03,9.00000000e-01,0.00000000e+00
4.30648000e-10,-3.16300426e-03,9.00000000e-01,0.00000000e+00
4.31296000e-10,-1.17157955e-03,9.00000000e-01,0.00000000e+00
4.31944000e-10,-4.31024251e-04,9.00000000e-01,0.00000000e+00
4.33240000e-10,-1.25449143e-05,9.00000000e-01,0.00000000e+00
4.34536000e-10,5.37819325e-06,9.00000000e-01,0.00000000e+00
4.37128000e-10,7.16979183e-06,9.00000000e-01,0.00000000e+00
4.39720000e-10,6.83637351e-06,9.00000000e-01,0.00000000e+00
4.44904000e-10,6.93046621e-06,9.00000000e-01,0.00000000e+00
4.55272000e-10,6.87294714e-06,9.00000000e-01,0.00000000e+00
4.76008000e-10,6.91889795e-06,9.00000000e-01,0.00000000e+00
5.17480000e-10,6.87763406e-06,9.00000000e-01,0.00000000e+00
5.67480000e-10,6.91634785e-06,9.00000000e-01,0.00000000e+00
6.10000000e-10,6.87996159e-06,9.00000000e-01,0.00000000e+00
6.10062500e-10,5.26276238e-04,9.00000000e-01,5.62500000e-03
6.10125000e-10,1.00748642e-03,9.00000000e-01,1.12500000e-02
6.10250000e-10,1.90883855e-03,9.00000000e-01,2.25000000e-02
6.10500000e-10,3.37910900e-03,9.00000000e-01,4.50000000e-02
6.11000000e-10,5.38224183e-03,9.00000000e-01,9.00000000e-02
6.12000000e-10,7.39048542e-03,9.00000000e-01,1.80000000e-01
6.14000000e-10,8.52631205e-03,9.00000000e-01,3.60000000e-01
6.16000000e-10,7.70041601e-03,9.00000000e-01,5.40000000e-01
6.18000000e-10,7.36805107e-03,9.00000000e-01,7.20000000e-01
6.20000000e-10,6.79130408e-03,9.00000000e-01,9.00000000e-01
6.22000000e-10,1.74003870e-03,9.00000000e-01,9.00000000e-01
6.24000000e-10,7.68498400e-04,9.00000000e-01,9.00000000e-01
6.26000000e-10,4.36127690e-04,9.00000000e-01,9.00000000e-01
6.30000000e-10,4.96833891e-04,9.00000000e-01,9.00000000e-01
6.38000000e-10,3.13815958e-04,9.00000000e-01,9.00000000e-01
6.46000000e-10,3.22563405e-04,9.00000000e-01,9.00000000e-01
6.62000000e-10,1.86415793e-04,9.00000000e-01,9.00000000e-01
6.94000000e-10,1.64934246e-04,9.00000000e-01,9.00000000e-01
7.44000000e-10,6.31564130e-05,9.00000000e-01,9.00000000e-01
7.94000000e-10,8.96120643e-05,9.00000000e-01,9.00000000e-01
8.44000000e-10,2.78030199e-05,9.00000000e-01,9.00000000e-01
8.94000000e-10,6.52299212e-05,9.00000000e-01,9.00000000e-01
9.20000000e-10,1.77158206e-05,9.00000000e-01,9.00000000e-01
9.20062500e-10,-8.99032561e-04,9.00000000e-01,8.94375000e-01
9.20125000e-10,-1.68092501e-03,9.00000000e-01,8.88750000e-01
9.20250000e-10,-3.01497051e-03,9.00000000e-01,8.77500000e-01
9.20500000e-10,-4.67270641e-03,9.00000000e-01,8.55000000e-01
9.21000000e-10,-6.02854311e-03,9.00000000e-01,8.10000000e-01
9.22000000e-10,-6.62317712e-03,9.00000000e-01,7.20000000e-01
9.23000000e-10,-6.95521790e-03,9.00000000e-01,6.30000000e-01
9.25000000e-10,-7.88309642e-03,9.00000000e-01,4.50000000e-01
9.27000000e-10,-8.15194544e-03,9.00000000e-01,2.70000000e-01
9.28800000e-10,-8.23033499e-03,9.00000000e-01,1.08000000e-01
9.30000000e-10,-7.61321990e-03,9.00000000e-01,7.77156117e-15
9.30162000e-10,-6.19484981e-03,9.00000000e-01,0.00000000e+00
9.30324000e-10,-5.04204379e-03,9.00000000e-01,0.00000000e+00
9.30648000e-10,-3.16300372e-03,9.00000000e-01,0.00000000e+00
9.31296000e-10,-1.17157913e-03,9.00000000e-01,0.00000000e+00
9.31944000e-10,-4.31023950e-04,9.00000000e-01,0.00000000e+00
9.33240000e-10,-1.25447841e-05,9.00000000e-01,0.00000000e+00
9.34536000e-10,5.37823469e-06,9.00000000e-01,0.00000000e+00
9.37128000e-10,7.16979213e-06,9.00000000e-01,0.00000000e+00
9.39720000e-10,6.83637339e-06,9.00000000e-01,0.00000000e+00
9.44904000e-10,6.93046600e-06,9.00000000e-01,0.00000000e+00
9.55272000e-10,6.87294747e-06,9.00000000e-01,0.00000000e+00
9.76008000e-10,6.91889756e-06,9.00000000e-01,0.00000000e+00
1.01748000e-09,6.87763446e-06,9.00000000e-01,0.00000000e+00
1.06748000e-09,6.91634742e-06,9.00000000e-01,0.00000000e+00
1.10000000e-09,6.88031837e-06,9.00000000e-01,0.00000000e+00
1.10000098e-09,-3.37784783e-01,8.78906250e-05,0.00000000e+00
1.10000099e-09,-3.40926976e-01,8.92639160e-05,0.00000000e+00
1.10000101e-09,-3.42922328e-01,9.06372070e-05,0.00000000e+00
1.10000102e-09,-3.43180671e-01,9.18303432e-05,0.00000000e+00
1.10000103e-09,-3.42714047e-01,9.30234794e-05,0.00000000e+00
1.10000106e-09,-3.40761266e-01,9.54097517e-05,0.00000000e+00
1.10000109e-09,-3.38192182e-01,9.77960240e-05,0.00000000e+00
1.10000111e-09,-3.35511849e-01,1.00182296e-04,0.00000000e+00
1.10000117e-09,-3.30455892e-01,1.04954841e-04,0.00000000e+00
